open;high;low;close;adj close
17.40;17.40;16.70;16.70;16.70
16.80;16.96;16.62;16.70;16.70
16.70;16.86;16.54;16.56;16.56
16.90;16.90;16.40;16.80;16.80
16.80;16.98;16.56;16.66;16.66
16.96;16.96;16.52;16.52;16.52
16.64;16.90;16.44;16.50;16.50
16.50;16.64;16.30;16.30;16.30
16.40;16.52;16.36;16.40;16.40
16.40;16.40;16.36;16.40;16.40
16.36;16.40;16.30;16.30;16.30
16.30;16.38;16.22;16.30;16.30
16.22;16.30;16.18;16.18;16.18
16.18;16.22;16.10;16.12;16.12
16.10;16.50;15.70;16.00;16.00
16.00;16.20;15.70;15.90;15.90
16.16;16.16;15.86;16.00;16.00
16.20;16.20;15.74;15.84;15.84
16.10;16.10;15.80;15.90;15.90
15.92;16.30;15.60;15.64;15.64
15.60;15.80;15.00;15.50;15.50
15.84;16.00;15.26;15.40;15.40
15.60;15.80;15.40;15.80;15.80
15.50;15.90;15.34;15.88;15.88
15.94;16.28;15.50;15.88;15.88
15.90;16.42;15.88;16.10;16.10
16.20;16.50;16.10;16.50;16.50
16.50;16.62;16.10;16.50;16.50
16.70;17.70;16.50;17.00;17.00
17.36;17.60;17.18;17.40;17.40
17.44;17.60;16.90;17.00;17.00
17.00;17.10;16.90;16.96;16.96
16.82;17.20;16.76;17.00;17.00
17.20;17.20;16.78;17.00;17.00
17.20;17.66;17.00;17.50;17.50
17.60;17.60;17.24;17.24;17.24
17.48;17.50;17.18;17.18;17.18
17.18;17.80;16.80;16.88;16.88
17.20;17.20;16.82;17.00;17.00
17.40;17.40;17.20;17.30;17.30
0;0;0;0;0
17.40;17.60;17.14;17.50;17.50
17.40;17.50;17.34;17.50;17.50
17.50;17.76;17.28;17.36;17.36
17.36;17.76;17.36;17.54;17.54
17.50;17.76;17.40;17.76;17.76
17.50;17.98;17.46;17.56;17.56
17.76;17.92;17.60;17.60;17.60
17.60;18.00;17.60;17.64;17.64
18.46;18.48;17.02;17.76;17.76
17.76;17.82;17.24;17.50;17.50
18.00;18.00;17.10;17.10;17.10
17.10;17.40;17.02;17.20;17.20
17.30;17.60;17.04;17.04;17.04
17.04;17.40;17.04;17.10;17.10
17.10;17.60;17.10;17.10;17.10
17.10;17.30;17.04;17.08;17.08
