open;high;low;close;adj close
83.30;83.75;83.30;83.75;83.75
83.60;85.70;83.60;85.70;85.70
85.70;85.70;85.40;85.40;85.40
85.60;86.70;85.60;86.70;86.70
86.70;86.70;86.70;86.70;86.70
88.35;88.35;88.35;88.35;88.35
88.40;89.85;88.40;89.85;89.85
90.30;90.30;89.35;89.35;89.35
88.05;89.35;88.05;89.35;89.35
91.75;94.25;91.75;94.25;94.25
92.40;92.40;89.05;89.05;89.05
89.35;89.35;89.15;89.15;89.15
88.75;88.75;87.00;87.00;87.00
86.60;87.10;86.60;87.10;87.10
86.10;86.10;86.10;86.10;86.10
84.25;84.25;84.25;84.25;84.25
84.70;84.70;84.15;84.15;84.15
83.95;86.85;83.95;86.85;86.85
88.50;88.50;86.00;86.00;86.00
85.55;86.40;85.55;86.40;86.40
86.80;88.40;86.80;88.40;88.40
88.30;88.30;87.95;87.95;87.95
87.60;87.60;85.55;85.55;85.55
85.90;85.90;85.90;85.90;85.90
86.15;86.50;86.15;86.50;86.50
85.40;86.00;85.40;86.00;86.00
86.15;86.15;86.15;86.15;86.15
85.80;85.80;85.00;85.00;85.00
85.40;93.90;85.40;93.90;93.90
93.65;96.00;93.65;96.00;96.00
95.75;97.60;95.75;97.60;97.60
97.10;97.80;97.10;97.80;97.80
97.80;97.80;97.45;97.45;97.45
97.55;97.55;96.95;96.95;96.95
97.65;97.85;97.65;97.85;97.85
98.55;98.55;97.30;97.30;97.30
97.10;97.25;97.10;97.25;97.25
97.60;98.90;97.60;98.90;98.90
99.00;100.00;99.00;100.00;100.00
100.00;100.00;99.25;99.25;99.25
98.90;99.25;98.90;99.25;99.25
99.75;100.60;99.75;100.60;100.60
99.25;99.25;97.50;97.50;97.50
94.55;94.55;93.90;93.90;93.90
93.75;93.75;93.35;93.35;93.35
94.30;94.30;93.65;93.65;93.65
94.75;94.75;94.75;94.75;94.75
99.65;100.80;99.45;99.45;99.45
99.70;99.70;98.50;98.50;98.50
99.55;99.55;99.15;99.15;99.15
99.45;100.60;99.45;100.60;100.60
98.05;99.35;98.05;99.35;99.35
99.65;101.10;99.65;101.10;101.10
102.30;102.30;100.60;100.60;100.60
101.70;103.60;101.70;103.60;103.60
103.70;103.70;103.70;103.70;103.70
104.60;104.60;102.90;102.90;102.90
102.50;103.00;102.50;103.00;103.00
102.60;104.80;102.60;104.80;104.80
104.70;106.90;104.70;106.90;106.90
106.30;106.30;105.90;105.90;105.90
105.30;105.30;104.60;104.60;104.60
107.00;107.00;107.00;107.00;107.00
106.70;107.10;106.70;107.10;107.10
108.10;108.50;108.10;108.50;108.50
109.10;109.10;106.40;106.40;106.40
106.20;108.90;106.20;108.90;108.90
109.50;109.50;105.80;105.80;105.80
0;0;0;0;0
101.30;101.30;101.30;101.30;101.30
102.20;102.20;102.10;102.10;102.10
101.50;101.50;98.85;98.85;98.85
98.80;98.80;98.60;98.60;98.60
98.95;101.70;98.95;101.70;101.70
103.50;103.50;103.20;103.20;103.20
103.40;104.50;103.40;104.50;104.50
104.70;104.70;102.90;102.90;102.90
103.30;103.90;103.30;103.90;103.90
103.80;105.10;103.80;105.10;105.10
103.90;103.90;101.30;101.30;101.30
102.60;103.90;102.60;103.90;103.90
103.90;103.90;103.20;103.20;103.20
103.40;104.50;103.40;104.50;104.50
105.40;105.40;104.60;104.60;104.60
104.00;104.00;104.00;104.00;104.00
