open;high;low;close;adj close
34.68;34.80;33.58;33.68;33.68
34.00;34.34;33.56;33.64;33.64
33.94;34.32;33.62;33.96;33.96
34.00;34.10;33.30;34.00;34.00
34.00;34.02;33.24;33.48;33.48
33.74;34.16;33.44;33.90;33.90
33.78;34.40;33.74;33.96;33.96
34.00;34.00;32.88;33.02;33.02
33.00;33.64;33.00;33.18;33.18
33.50;33.50;33.20;33.20;33.20
33.46;33.48;33.06;33.24;33.24
33.00;33.18;32.56;32.70;32.70
33.00;33.02;32.76;32.76;32.76
32.50;32.50;32.16;32.20;32.20
32.18;32.18;31.22;31.30;31.30
31.40;31.78;31.20;31.54;31.54
31.74;32.38;31.70;32.08;32.08
32.38;32.38;32.02;32.10;32.10
32.30;32.78;32.26;32.60;32.60
32.60;32.60;32.60;32.60;32.60
32.96;33.02;32.40;32.66;32.66
32.64;32.76;31.42;31.86;31.86
32.06;32.50;31.96;32.16;32.16
32.36;32.36;31.22;31.32;31.32
30.92;31.66;30.56;31.40;31.40
31.44;31.90;31.36;31.80;31.80
31.98;32.58;31.92;32.46;32.46
32.64;33.32;32.24;32.80;32.80
33.28;33.28;32.02;32.20;32.20
32.64;32.64;32.02;32.40;32.40
32.46;33.22;32.08;32.24;32.24
32.56;32.84;32.36;32.62;32.62
32.82;33.22;31.56;33.10;33.10
33.90;34.20;32.72;32.78;32.78
33.10;33.12;32.50;32.70;32.70
32.54;33.46;32.48;33.10;33.10
33.10;33.56;33.10;33.32;33.32
33.38;33.38;32.22;32.94;32.94
32.72;33.38;32.60;32.60;32.60
32.60;32.60;31.32;31.58;31.58
31.60;31.60;30.86;30.86;30.86
31.00;31.00;29.80;29.88;29.88
29.98;31.36;29.90;31.00;31.00
31.28;31.60;30.50;31.22;31.22
31.60;32.16;31.06;31.62;31.62
31.72;31.86;30.90;31.28;31.28
31.50;31.50;30.28;30.38;30.38
30.70;31.14;30.50;30.88;30.88
31.00;31.46;30.58;30.78;30.78
31.12;31.98;30.90;31.66;31.66
31.96;32.04;31.18;31.84;31.84
32.10;33.34;32.10;33.08;33.08
33.38;33.38;32.86;33.10;33.10
33.46;33.46;32.50;33.08;33.08
33.02;33.08;32.50;32.66;32.66
32.40;32.96;32.30;32.36;32.36
32.32;32.46;31.80;31.84;31.84
32.30;34.98;31.54;33.68;33.68
33.96;33.96;31.26;32.66;32.66
33.08;33.60;32.58;32.94;32.94
32.90;33.36;32.50;33.04;33.04
33.50;33.62;33.10;33.58;33.58
33.74;33.74;32.48;33.00;33.00
33.16;33.38;32.04;32.10;32.10
32.20;32.32;30.88;32.16;32.16
32.20;32.24;30.78;31.12;31.12
30.78;31.10;30.50;30.94;30.94
31.18;32.42;31.18;32.34;32.34
32.30;32.68;31.16;31.26;31.26
31.50;32.80;31.44;32.44;32.44
32.58;33.16;32.24;33.08;33.08
33.12;33.94;32.94;33.20;33.20
33.02;33.16;32.52;33.02;33.02
33.16;33.16;32.38;32.40;32.40
32.40;32.48;31.54;31.82;31.82
31.84;32.00;31.60;31.92;31.92
31.98;32.16;31.84;32.04;32.04
32.16;33.30;31.90;32.96;32.96
33.10;33.12;32.62;32.72;32.72
33.08;33.48;32.72;33.02;33.02
33.46;34.14;33.30;33.76;33.76
33.98;34.30;33.66;34.20;34.20
34.40;34.96;34.18;34.90;34.90
34.90;36.38;34.70;36.06;36.06
37.14;38.60;36.64;36.66;36.66
36.90;37.80;36.74;37.60;37.60
37.50;38.48;37.28;37.92;37.92
37.80;39.30;37.62;39.16;39.16
39.10;39.64;38.28;39.64;39.64
39.46;39.46;37.90;38.20;38.20
38.20;38.34;37.14;37.64;37.64
37.60;37.68;36.26;36.26;36.26
36.46;36.66;35.44;36.42;36.42
36.48;37.46;36.00;36.94;36.94
37.00;37.06;35.84;36.68;36.68
36.86;37.00;36.30;36.80;36.80
37.22;37.50;36.84;37.20;37.20
37.26;37.98;37.04;37.50;37.50
37.50;37.78;36.64;36.88;36.88
36.60;36.72;35.82;36.16;36.16
