open;high;low;close;adj close
60.16;60.16;59.21;59.21;59.21
58.77;61.50;58.77;61.50;61.50
61.47;61.47;61.14;61.14;61.14
60.96;60.96;60.71;60.71;60.71
61.50;61.50;61.25;61.25;61.25
61.25;61.25;61.25;61.25;61.25
62.12;62.90;62.12;62.80;62.80
62.40;62.40;61.91;61.91;61.91
61.32;61.52;61.32;61.52;61.52
61.38;61.38;60.30;60.49;60.49
59.99;61.64;59.99;61.27;61.27
61.93;62.50;61.93;62.30;62.30
62.79;62.79;62.55;62.55;62.55
63.04;63.04;62.49;62.49;62.49
62.76;62.76;62.19;62.19;62.19
61.74;62.07;61.74;62.07;62.07
63.50;63.50;62.11;62.11;62.11
62.81;63.39;62.81;63.20;63.20
63.46;64.05;63.44;64.05;64.05
65.31;65.31;64.04;64.04;64.04
63.71;63.71;62.79;62.86;62.86
62.59;62.63;62.48;62.63;62.63
62.83;62.83;62.64;62.64;62.64
62.37;62.38;61.98;62.38;62.38
62.25;62.88;62.25;62.52;62.52
59.00;60.57;58.82;60.57;60.57
59.84;60.11;59.84;60.11;60.11
60.13;60.13;59.55;59.55;59.55
59.72;60.57;59.72;60.15;60.15
60.99;61.14;60.74;61.01;61.01
61.29;61.71;61.29;61.71;61.71
61.67;61.67;60.89;60.89;60.89
60.35;60.48;60.35;60.48;60.48
60.69;61.23;60.69;60.88;60.88
61.66;61.66;61.26;61.26;61.26
61.90;63.73;61.90;63.73;63.73
63.89;64.08;63.59;64.08;64.08
64.06;64.06;61.84;62.81;62.81
61.85;61.99;61.85;61.99;61.99
61.67;62.15;61.67;62.15;62.15
61.93;61.93;60.54;60.54;60.54
60.95;60.95;60.51;60.51;60.51
60.20;60.81;60.20;60.81;60.81
58.63;58.63;57.75;58.35;58.35
57.20;57.20;56.51;56.73;56.73
57.10;57.60;56.55;56.55;56.55
56.57;56.72;56.57;56.68;56.68
57.42;58.35;56.99;58.35;58.35
57.95;58.35;57.75;57.75;57.75
58.73;58.73;58.06;58.06;58.06
57.58;59.33;57.58;58.91;58.91
58.63;58.63;57.31;57.31;57.31
56.47;57.01;56.47;56.86;56.86
57.93;57.93;57.50;57.91;57.91
58.07;58.07;57.79;57.79;57.79
58.49;58.81;58.49;58.81;58.81
58.66;59.29;58.66;59.17;59.17
59.50;59.50;58.13;58.13;58.13
57.93;58.12;57.82;58.06;58.06
57.77;58.22;57.77;58.22;58.22
57.92;58.47;57.89;58.47;58.47
58.32;59.66;58.32;59.66;59.66
59.75;60.13;59.75;60.13;60.13
60.26;60.26;59.99;59.99;59.99
59.64;59.64;59.43;59.44;59.44
60.00;60.24;60.00;60.24;60.24
60.88;61.07;60.88;61.07;61.07
61.18;61.35;60.98;61.34;61.34
61.74;62.40;61.74;62.40;62.40
62.42;63.81;62.42;63.81;63.81
64.34;64.71;64.34;64.71;64.71
65.12;65.12;64.14;64.38;64.38
64.59;65.83;64.59;65.83;65.83
65.76;67.17;65.76;65.84;65.84
65.68;65.68;64.27;64.27;64.27
64.06;64.14;64.06;64.14;64.14
63.67;63.81;63.67;63.81;63.81
63.77;63.91;63.77;63.91;63.91
63.71;63.71;62.90;63.34;63.34
63.63;63.63;62.11;62.11;62.11
61.53;61.79;61.53;61.79;61.79
61.98;62.07;61.98;62.07;62.07
62.65;63.61;62.65;63.61;63.61
63.52;64.15;63.52;64.15;64.15
64.28;64.28;63.42;63.42;63.42
63.09;63.09;63.09;63.09;63.09
