open;high;low;close;adj close
53.46;54.92;53.46;54.68;54.68
54.29;54.29;53.77;53.88;53.88
54.20;54.20;52.68;53.17;53.17
53.55;53.55;52.62;52.71;52.71
52.71;52.71;52.71;52.71;52.71
53.00;54.01;53.00;54.01;54.01
53.86;53.86;53.44;53.45;53.45
52.90;53.54;52.90;53.54;53.54
53.73;53.73;52.88;52.88;52.88
52.51;54.22;52.51;54.22;54.22
54.42;54.98;54.42;54.98;54.98
55.43;55.65;55.43;55.65;55.65
54.45;55.70;54.45;54.54;54.54
54.96;55.28;54.96;55.28;55.28
54.74;55.35;54.74;55.35;55.35
54.45;56.70;54.45;56.08;56.08
59.35;61.13;59.35;61.13;61.13
60.69;61.13;60.69;61.13;61.13
61.73;62.03;61.36;61.36;61.36
61.31;61.31;60.34;60.77;60.77
61.03;61.60;61.03;61.09;61.09
61.06;61.06;60.62;60.91;60.91
60.94;61.01;60.87;60.87;60.87
60.64;60.64;59.95;59.95;59.95
59.03;59.82;59.03;59.82;59.82
59.87;59.87;59.38;59.56;59.56
59.57;59.57;59.20;59.20;59.20
59.33;59.33;58.89;58.89;58.89
59.16;59.16;58.80;58.80;58.80
59.79;60.00;59.00;59.00;59.00
59.04;59.26;59.04;59.14;59.14
59.13;59.13;58.84;58.84;58.84
59.51;59.91;59.24;59.65;59.65
59.27;59.80;59.27;59.48;59.48
60.47;61.14;60.47;61.14;61.14
61.25;61.25;60.13;60.13;60.13
60.53;60.78;59.27;59.27;59.27
59.66;59.96;59.66;59.71;59.71
59.93;59.93;59.49;59.56;59.56
59.10;59.10;56.64;57.39;57.39
57.16;58.61;57.16;58.61;58.61
59.19;60.20;59.19;60.20;60.20
61.16;61.16;58.24;58.24;58.24
57.42;57.42;55.80;55.93;55.93
55.98;56.35;55.57;55.57;55.57
56.25;59.49;56.25;58.74;58.74
59.79;62.72;59.58;62.72;62.72
62.85;68.17;62.81;65.04;65.04
65.17;65.20;63.60;63.95;63.95
63.01;65.40;63.01;64.91;64.91
65.44;65.44;64.01;64.01;64.01
64.17;64.52;64.13;64.42;64.42
65.33;66.80;65.33;66.29;66.29
66.27;66.28;65.79;66.08;66.08
65.97;67.06;65.97;67.00;67.00
66.92;67.88;66.92;67.51;67.51
67.82;67.82;66.82;67.06;67.06
66.22;66.56;66.22;66.46;66.46
66.59;66.82;66.59;66.82;66.82
66.72;67.22;66.72;66.75;66.75
66.53;67.46;66.53;67.46;67.46
67.30;67.64;67.30;67.38;67.38
67.43;67.43;66.59;66.76;66.76
66.32;66.74;66.12;66.12;66.12
67.16;67.75;67.16;67.67;67.67
67.90;67.90;66.30;66.30;66.30
66.45;66.97;66.45;66.90;66.90
67.15;67.15;67.10;67.10;67.10
67.39;68.93;67.39;68.93;68.93
69.67;69.67;69.05;69.05;69.05
68.56;68.56;67.64;68.09;68.09
67.84;68.21;67.84;68.21;68.21
67.72;68.21;67.72;67.97;67.97
67.77;67.77;67.23;67.23;67.23
66.83;66.83;66.34;66.34;66.34
66.31;67.00;66.31;67.00;67.00
67.37;67.37;67.33;67.33;67.33
67.05;67.05;65.33;65.91;65.91
66.23;66.23;66.07;66.07;66.07
65.82;66.07;65.82;66.07;66.07
65.06;65.29;64.69;64.69;64.69
64.73;64.73;64.72;64.72;64.72
64.58;64.76;64.58;64.76;64.76
64.76;64.76;62.72;62.72;62.72
62.74;62.74;62.25;62.25;62.25
