open;high;low;close;adj close
5.0710;5.0710;5.0710;5.0710;5.0710
5.0690;5.1050;5.0350;5.0920;5.0920
5.0780;5.1880;5.0650;5.1880;5.1880
5.1560;5.1640;5.1560;5.1640;5.1640
5.0710;5.0710;5.0710;5.0710;5.0710
5.1190;5.1190;5.1190;5.1190;5.1190
5.0260;5.0260;5.0260;5.0260;5.0260
4.9835;4.9975;4.9640;4.9815;4.9815
5.0210;5.0210;5.0210;5.0210;5.0210
5.0240;5.0240;5.0240;5.0240;5.0240
4.9890;5.0390;4.9890;5.0390;5.0390
4.9940;4.9980;4.9940;4.9980;4.9980
5.0810;5.0810;5.0810;5.0810;5.0810
4.8750;4.8800;4.8750;4.8780;4.8780
4.8145;4.8480;4.8120;4.8450;4.8450
4.8870;5.0110;4.8870;5.0110;5.0110
4.9935;4.9935;4.9340;4.9860;4.9860
4.9590;5.0290;4.9380;4.9380;4.9380
4.9650;4.9650;4.9150;4.9245;4.9245
4.9245;4.9245;4.9245;4.9245;4.9245
5.0050;5.0050;5.0050;5.0050;5.0050
4.9560;4.9560;4.9160;4.9385;4.9385
4.9155;4.9155;4.9155;4.9155;4.9155
4.8735;4.8735;4.8735;4.8735;4.8735
4.8375;4.9175;4.8375;4.9175;4.9175
4.9460;5.0030;4.9320;5.0030;5.0030
4.9565;4.9565;4.9565;4.9565;4.9565
4.9760;4.9760;4.8960;4.8960;4.8960
4.9245;4.9245;4.9245;4.9245;4.9245
4.8910;4.8910;4.8910;4.8910;4.8910
4.8575;4.8930;4.8420;4.8930;4.8930
4.9470;4.9470;4.8960;4.8960;4.8960
4.9335;4.9335;4.9335;4.9335;4.9335
4.9955;4.9955;4.9780;4.9780;4.9780
4.9640;4.9640;4.9040;4.9320;4.9320
4.9420;5.0230;4.9420;5.0230;5.0230
5.0380;5.0790;5.0380;5.0790;5.0790
5.0360;5.1210;5.0360;5.0860;5.0860
5.0550;5.0550;5.0070;5.0070;5.0070
4.9545;4.9545;4.9410;4.9410;4.9410
4.9035;4.9460;4.9035;4.9295;4.9295
4.9400;4.9400;4.9270;4.9270;4.9270
4.9680;4.9730;4.9065;4.9065;4.9065
4.9280;4.9310;4.9090;4.9310;4.9310
4.9710;4.9710;4.9645;4.9645;4.9645
4.9175;4.9175;4.9175;4.9175;4.9175
4.8500;4.8515;4.8500;4.8515;4.8515
4.8730;4.8730;4.7845;4.7845;4.7845
4.7700;4.7700;4.7225;4.7225;4.7225
4.8010;4.8755;4.8010;4.8755;4.8755
4.8575;4.8960;4.8460;4.8885;4.8885
4.8740;5.0060;4.8720;4.8945;4.8945
4.8200;4.8200;4.8200;4.8200;4.8200
4.8105;4.8105;4.8105;4.8105;4.8105
4.7580;4.7580;4.6520;4.6725;4.6725
4.6110;4.6110;4.6110;4.6110;4.6110
4.7040;4.7040;4.6320;4.6320;4.6320
4.5190;4.5690;4.5070;4.5375;4.5375
4.4745;4.4745;4.4550;4.4650;4.4650
4.4705;4.4705;4.4130;4.4130;4.4130
4.3770;4.4205;4.3770;4.4205;4.4205
4.4545;4.5230;4.4510;4.4995;4.4995
4.4305;4.4395;4.4305;4.4395;4.4395
4.2920;4.2920;4.2920;4.2920;4.2920
4.2585;4.3540;4.2585;4.3540;4.3540
4.3130;4.3130;4.2400;4.2400;4.2400
4.2315;4.3660;4.2270;4.3660;4.3660
4.4065;4.4065;4.2805;4.2805;4.2805
4.2505;4.2505;4.1930;4.1930;4.1930
4.2290;4.2290;4.2290;4.2290;4.2290
4.2460;4.3390;4.2460;4.3130;4.3130
4.3605;4.3605;4.3110;4.3110;4.3110
4.2540;4.2990;4.2460;4.2850;4.2850
4.2820;4.3280;4.2765;4.2765;4.2765
4.2855;4.3090;4.2660;4.2815;4.2815
4.2810;4.3470;4.2810;4.2980;4.2980
4.3305;4.3480;4.2980;4.2980;4.2980
4.3035;4.3035;4.2825;4.2825;4.2825
4.2745;4.3080;4.2740;4.2810;4.2810
4.3510;4.3600;4.3095;4.3095;4.3095
4.3585;4.4930;4.3585;4.4820;4.4820
4.5065;4.5350;4.4770;4.4805;4.4805
4.5045;4.5815;4.5045;4.5815;4.5815
4.6125;4.6850;4.5700;4.6845;4.6845
4.6995;4.7680;4.6590;4.6735;4.6735
4.6705;4.7320;4.6000;4.7320;4.7320
4.7780;4.8560;4.7780;4.8560;4.8560
4.8220;4.8230;4.7760;4.8065;4.8065
4.7650;4.7650;4.6720;4.7020;4.7020
4.6920;4.7095;4.6760;4.7095;4.7095
4.7050;4.7700;4.7050;4.7615;4.7615
4.7730;4.8115;4.7730;4.8115;4.8115
4.7980;4.7980;4.6985;4.6985;4.6985
4.7180;4.7180;4.6695;4.6695;4.6695
4.6630;4.6650;4.5680;4.6650;4.6650
4.6610;4.7020;4.6450;4.7005;4.7005
4.6900;4.7690;4.6900;4.7395;4.7395
4.7755;4.7990;4.7755;4.7880;4.7880
4.8000;4.8220;4.7180;4.7210;4.7210
4.7010;4.7010;4.6190;4.6190;4.6190
