open;high;low;close;adj close
62.80;65.20;62.80;65.20;65.20
65.60;65.90;65.60;65.90;65.90
66.60;66.60;64.60;64.60;64.60
64.50;64.50;63.90;63.90;63.90
63.90;63.90;63.90;63.90;63.90
64.10;64.30;64.10;64.30;64.30
64.00;64.00;63.20;63.20;63.20
63.50;63.50;62.10;62.10;62.10
63.20;63.20;62.60;62.60;62.60
62.20;63.00;61.20;63.00;63.00
62.10;62.10;61.30;61.30;61.30
61.60;61.60;60.70;60.70;60.70
60.50;60.50;60.50;60.50;60.50
60.50;60.50;60.50;60.50;60.50
60.50;61.30;60.50;61.30;61.30
61.20;61.20;60.60;60.60;60.60
60.50;61.50;60.50;61.50;61.50
61.40;62.10;61.40;61.80;61.80
62.80;64.00;62.80;64.00;64.00
63.60;63.60;63.20;63.20;63.20
63.30;64.80;63.30;64.80;64.80
65.00;65.00;63.80;63.80;63.80
63.50;63.50;63.50;63.50;63.50
63.50;64.30;63.50;64.30;64.30
63.50;64.20;63.50;64.20;64.20
64.60;64.60;63.00;63.00;63.00
63.40;63.40;62.50;62.50;62.50
61.10;62.40;61.10;62.40;62.40
62.20;63.70;62.20;63.70;63.70
63.40;63.40;61.80;61.80;61.80
61.60;61.60;61.30;61.30;61.30
61.30;61.30;60.90;60.90;60.90
60.90;61.30;60.90;61.30;61.30
61.50;61.50;61.50;61.50;61.50
62.50;62.50;61.80;61.80;61.80
61.70;61.70;61.60;61.60;61.60
62.30;62.70;62.30;62.70;62.70
62.60;62.70;62.60;62.70;62.70
62.70;62.70;62.50;62.50;62.50
62.00;62.00;60.20;60.20;60.20
60.20;60.90;60.20;60.90;60.90
60.20;60.20;60.10;60.10;60.10
60.30;60.30;59.90;59.90;59.90
59.80;59.80;58.60;58.60;58.60
58.50;58.50;57.50;57.50;57.50
57.70;58.60;57.70;58.60;58.60
59.30;59.60;59.30;59.60;59.60
59.50;59.50;59.10;59.10;59.10
59.10;59.10;57.80;57.80;57.80
57.50;59.30;57.50;59.30;59.30
59.40;59.40;58.40;58.40;58.40
57.30;58.00;57.30;58.00;58.00
58.90;58.90;58.30;58.30;58.30
58.50;58.50;56.60;56.60;56.60
56.50;56.50;49.80;49.80;49.80
48.65;48.65;47.30;47.30;47.30
47.20;47.20;45.95;45.95;45.95
45.70;45.70;45.70;45.70;45.70
45.15;45.15;44.80;44.80;44.80
45.05;45.05;43.95;43.95;43.95
44.05;44.70;44.05;44.70;44.70
45.70;45.70;45.00;45.00;45.00
45.70;45.70;44.65;44.65;44.65
44.85;44.85;44.10;44.10;44.10
44.40;44.45;44.40;44.45;44.45
44.75;45.65;44.75;45.65;45.65
45.55;45.55;44.95;44.95;44.95
44.85;44.85;44.70;44.70;44.70
45.10;45.15;45.10;45.15;45.15
45.45;46.55;45.45;46.55;46.55
46.45;46.45;46.10;46.10;46.10
45.85;46.00;45.85;46.00;46.00
45.75;45.75;45.50;45.50;45.50
45.25;45.25;44.90;44.90;44.90
45.15;45.15;44.30;44.30;44.30
44.40;44.40;44.00;44.00;44.00
44.20;44.20;43.90;43.90;43.90
43.55;43.55;42.50;42.50;42.50
42.85;42.95;42.85;42.95;42.95
43.05;43.05;42.25;42.25;42.25
42.30;42.30;41.30;41.30;41.30
41.25;41.70;41.25;41.70;41.70
41.65;41.65;41.60;41.60;41.60
41.30;41.30;40.80;40.80;40.80
40.80;40.80;40.80;40.80;40.80
