open;high;low;close;adj close
99.38;99.54;99.38;99.54;99.54
100.30;100.30;100.30;100.30;100.30
100.30;102.15;100.30;102.15;102.15
101.85;102.45;101.85;102.45;102.45
102.25;102.25;101.00;101.00;101.00
100.65;100.65;100.15;100.15;100.15
99.80;101.20;99.80;101.20;101.20
100.90;102.10;100.90;102.10;102.10
102.10;103.25;102.10;103.25;103.25
103.15;103.55;103.15;103.55;103.55
103.20;103.50;103.20;103.25;103.25
102.95;102.95;102.45;102.45;102.45
102.60;104.25;102.60;104.25;104.25
103.80;103.80;103.30;103.30;103.30
103.20;104.05;103.20;104.05;104.05
103.90;103.90;103.60;103.60;103.60
103.10;104.50;103.10;104.50;104.50
104.45;104.45;104.40;104.40;104.40
105.10;105.45;105.10;105.45;105.45
105.45;105.45;105.45;105.45;105.45
105.35;105.95;105.35;105.95;105.95
105.80;107.05;105.80;107.05;107.05
106.80;107.05;106.80;107.05;107.05
106.75;107.00;106.75;107.00;107.00
107.75;108.15;107.65;107.65;107.65
107.30;107.30;106.55;106.55;106.55
107.40;107.40;106.90;106.90;106.90
107.00;107.00;106.95;106.95;106.95
106.25;107.05;106.25;107.05;107.05
106.85;106.85;106.30;106.30;106.30
106.05;106.05;104.35;104.35;104.35
103.65;104.20;103.65;104.20;104.20
105.05;105.70;105.05;105.70;105.70
106.40;106.40;106.05;106.05;106.05
107.05;107.85;107.05;107.85;107.85
109.05;109.05;108.75;108.75;108.75
108.50;108.50;107.95;107.95;107.95
108.15;108.15;107.25;107.25;107.25
107.35;107.70;107.35;107.70;107.70
107.40;107.40;106.75;106.75;106.75
106.30;106.60;106.30;106.60;106.60
106.80;106.80;106.00;106.00;106.00
106.15;106.15;106.05;106.05;106.05
106.20;106.40;106.20;106.40;106.40
106.40;106.65;106.40;106.65;106.65
106.70;107.35;106.70;107.35;107.35
106.70;106.70;106.70;106.70;106.70
107.25;107.25;106.25;106.25;106.25
106.15;106.65;106.15;106.65;106.65
107.20;107.65;107.20;107.65;107.65
108.00;108.00;106.00;106.00;106.00
105.85;105.85;105.55;105.55;105.55
106.30;106.30;105.80;105.80;105.80
105.60;107.10;105.60;107.10;107.10
106.75;106.75;106.50;106.50;106.50
105.15;105.15;105.10;105.10;105.10
104.95;106.65;104.95;106.65;106.65
106.40;106.40;104.90;104.90;104.90
105.60;105.60;103.50;103.50;103.50
102.50;106.55;102.50;106.55;106.55
106.50;107.90;106.50;107.90;107.90
108.70;109.20;108.70;109.20;109.20
109.50;109.50;108.75;108.75;108.75
107.70;108.55;107.70;108.55;108.55
108.70;108.70;108.20;108.20;108.20
108.50;108.50;108.00;108.00;108.00
110.10;110.10;109.90;109.90;109.90
110.20;110.85;110.20;110.85;110.85
111.45;111.45;110.10;110.10;110.10
110.20;111.40;110.20;111.40;111.40
111.25;111.25;110.30;110.30;110.30
110.25;110.25;110.15;110.15;110.15
110.05;111.25;110.05;111.25;111.25
111.30;112.75;111.30;112.75;112.75
112.80;113.75;112.80;113.75;113.75
113.60;114.05;113.60;114.05;114.05
113.35;114.15;113.35;114.15;114.15
114.65;115.90;114.65;115.90;115.90
115.40;116.00;115.40;116.00;116.00
116.60;116.60;116.25;116.25;116.25
116.60;116.60;114.65;114.65;114.65
114.20;114.20;113.60;113.60;113.60
114.00;114.00;111.50;111.50;111.50
110.45;110.45;109.55;109.55;109.55
109.60;111.05;109.60;111.05;111.05
110.50;110.70;110.50;110.70;110.70
109.85;109.85;109.55;109.55;109.55
109.10;109.10;108.20;108.20;108.20
108.05;110.00;108.05;110.00;110.00
108.60;109.15;108.60;109.15;109.15
109.50;109.50;108.10;108.10;108.10
107.80;107.80;107.50;107.50;107.50
107.80;107.85;107.80;107.85;107.85
107.40;108.55;107.40;108.55;108.55
108.05;108.05;107.35;107.35;107.35
107.00;107.55;107.00;107.55;107.55
108.45;108.45;108.05;108.05;108.05
108.10;108.20;108.10;108.20;108.20
108.80;108.80;107.05;107.05;107.05
107.10;107.10;107.10;107.10;107.10
