open;high;low;close;adj close
39.60;40.00;39.00;39.30;39.30
39.82;39.82;39.10;39.30;39.30
39.34;40.06;39.22;40.02;40.02
40.20;40.58;39.70;40.58;40.58
40.40;40.66;40.06;40.30;40.30
40.88;41.04;40.26;40.88;40.88
40.88;40.88;40.28;40.48;40.48
40.88;40.88;39.78;40.18;40.18
36.74;37.50;36.60;37.12;37.12
37.50;37.76;37.38;37.62;37.62
37.88;37.88;37.26;37.58;37.58
37.50;38.00;37.28;37.50;37.50
37.52;38.12;37.52;37.80;37.80
37.80;38.00;37.46;37.96;37.96
37.78;38.36;37.52;38.24;38.24
38.30;39.22;38.30;39.16;39.16
39.16;39.58;39.02;39.40;39.40
39.46;39.62;39.16;39.20;39.20
39.32;39.40;38.48;38.48;38.48
38.48;38.48;38.48;38.48;38.48
39.14;39.38;38.64;38.80;38.80
38.62;38.72;38.38;38.40;38.40
38.22;38.46;37.94;37.94;37.94
38.02;38.02;37.52;37.64;37.64
37.40;37.62;37.00;37.50;37.50
37.36;37.60;37.36;37.54;37.54
37.36;37.58;37.18;37.30;37.30
37.30;37.70;37.02;37.02;37.02
37.20;37.50;36.90;36.98;36.98
37.16;37.46;36.58;36.60;36.60
36.78;36.80;36.14;36.76;36.76
36.70;37.02;36.26;36.54;36.54
36.72;36.86;36.58;36.86;36.86
37.48;38.36;37.26;37.90;37.90
37.90;37.94;37.34;37.54;37.54
37.60;37.72;37.38;37.50;37.50
37.68;38.26;37.52;38.24;38.24
38.30;38.60;37.96;38.54;38.54
38.74;38.74;37.38;37.42;37.42
37.50;37.52;36.80;37.32;37.32
37.12;37.96;37.12;37.40;37.40
37.34;37.64;36.96;37.30;37.30
37.04;37.44;37.04;37.20;37.20
37.48;37.48;37.12;37.14;37.14
37.10;37.88;36.94;37.62;37.62
38.00;38.00;37.00;37.00;37.00
37.10;37.14;36.68;36.96;36.96
36.76;37.20;36.58;36.60;36.60
36.60;36.82;36.26;36.42;36.42
36.50;36.80;36.26;36.34;36.34
36.50;36.76;36.00;36.48;36.48
36.34;37.38;36.34;36.78;36.78
37.20;37.20;36.66;36.66;36.66
36.78;36.88;36.30;36.34;36.34
36.40;37.18;35.60;35.82;35.82
35.80;36.16;35.74;35.94;35.94
36.22;36.36;35.28;35.36;35.36
35.20;35.74;34.58;35.36;35.36
35.98;35.98;34.54;34.64;34.64
34.60;34.64;33.82;33.82;33.82
34.00;34.12;33.14;33.52;33.52
34.18;34.18;33.32;33.74;33.74
33.88;33.88;33.34;33.58;33.58
34.28;34.28;33.20;33.54;33.54
33.56;34.16;33.04;33.96;33.96
33.86;33.86;32.70;32.74;32.74
32.70;33.42;32.32;33.42;33.42
33.28;34.30;33.28;34.04;34.04
33.92;34.12;33.62;33.88;33.88
33.98;34.32;33.90;33.96;33.96
33.90;34.18;33.62;33.84;33.84
34.16;34.20;33.58;33.88;33.88
33.56;33.86;33.42;33.58;33.58
33.62;33.86;33.42;33.78;33.78
33.60;33.96;33.06;33.36;33.36
33.78;33.78;33.16;33.40;33.40
33.62;34.52;33.56;34.52;34.52
34.50;34.56;34.12;34.12;34.12
34.10;34.12;33.36;33.44;33.44
33.72;33.84;33.22;33.64;33.64
33.76;34.18;33.50;33.66;33.66
33.90;34.28;33.58;34.28;34.28
34.70;34.70;33.86;34.58;34.58
0;0;0;0;0
35.84;36.38;35.76;36.00;36.00
36.46;36.46;35.58;36.30;36.30
36.50;36.96;36.30;36.66;36.66
36.48;36.64;36.00;36.58;36.58
36.64;36.64;35.82;35.94;35.94
36.20;36.20;35.64;35.96;35.96
36.20;36.82;35.92;36.78;36.78
36.52;37.06;36.34;37.06;37.06
37.00;37.06;36.24;36.76;36.76
36.60;36.64;36.08;36.18;36.18
36.18;36.20;35.02;35.24;35.24
35.02;35.42;34.84;35.08;35.08
35.98;35.98;35.26;35.76;35.76
36.00;36.32;35.62;36.12;36.12
36.20;36.56;35.84;35.96;35.96
35.62;35.76;35.26;35.34;35.34
