open;high;low;close;adj close
201.29;203.09;201.29;203.09;203.09
203.09;203.09;203.09;203.09;203.09
205.50;207.30;205.50;207.30;207.30
206.10;207.36;206.10;207.36;207.36
205.95;205.95;204.71;204.71;204.71
207.76;208.54;207.76;208.54;208.54
208.50;208.50;207.82;207.82;207.82
209.78;209.78;206.50;206.50;206.50
205.19;205.19;203.63;203.63;203.63
203.54;203.70;203.54;203.70;203.70
203.40;204.30;203.40;204.30;204.30
201.22;201.22;199.44;199.44;199.44
201.09;201.09;200.01;200.01;200.01
199.46;199.46;198.50;198.50;198.50
195.79;201.55;195.79;201.55;201.55
198.80;203.22;198.80;203.22;203.22
201.97;201.97;201.77;201.77;201.77
201.44;201.44;201.01;201.01;201.01
200.00;201.16;200.00;201.16;201.16
201.16;201.16;201.16;201.16;201.16
202.27;205.06;202.27;205.06;205.06
202.22;203.68;202.22;203.68;203.68
203.75;204.40;203.75;204.40;204.40
204.67;204.67;204.05;204.05;204.05
206.25;210.15;206.25;210.15;210.15
208.33;208.33;206.80;206.80;206.80
208.51;208.51;208.45;208.45;208.45
207.99;207.99;206.55;206.55;206.55
209.84;213.17;207.75;207.75;207.75
206.96;213.75;206.96;213.75;213.75
213.12;213.12;208.70;208.70;208.70
210.25;210.65;210.25;210.65;210.65
213.24;213.24;207.75;207.75;207.75
209.00;209.61;207.71;209.15;209.15
208.65;209.29;207.75;207.75;207.75
209.77;211.10;209.77;211.10;211.10
210.98;211.10;210.98;211.10;211.10
210.99;212.16;210.66;211.32;211.32
208.28;208.28;204.26;205.02;205.02
205.35;207.83;204.49;207.83;207.83
208.53;208.53;204.66;204.66;204.66
206.48;206.48;203.96;204.30;204.30
206.23;206.23;205.74;205.98;205.98
205.63;206.66;205.63;206.08;206.08
207.54;208.96;207.54;207.78;207.78
206.73;206.73;205.30;205.30;205.30
201.43;205.30;201.43;205.30;205.30
206.73;208.10;206.73;208.10;208.10
206.58;207.71;206.58;207.67;207.67
217.24;217.24;217.24;217.24;217.24
219.43;220.31;217.10;217.10;217.10
217.14;217.14;214.78;214.78;214.78
215.09;216.86;211.20;211.98;211.98
215.68;215.68;212.51;212.51;212.51
212.98;215.96;212.01;215.26;215.26
216.88;217.36;215.99;216.35;216.35
215.69;219.36;215.69;219.36;219.36
219.11;219.11;217.15;217.15;217.15
216.35;216.35;212.33;212.33;212.33
209.73;211.94;208.14;208.85;208.85
214.04;214.69;208.06;209.27;209.27
212.78;213.76;211.43;211.43;211.43
212.80;212.80;209.40;209.40;209.40
212.19;212.19;205.33;205.33;205.33
206.25;208.00;206.25;208.00;208.00
208.65;208.65;205.55;205.55;205.55
205.78;209.32;205.78;209.32;209.32
211.13;211.74;210.36;210.93;210.93
213.00;213.00;209.88;209.88;209.88
208.99;210.31;208.99;210.03;210.03
210.40;210.40;208.60;208.60;208.60
210.39;210.39;204.91;204.91;204.91
203.93;204.89;202.41;202.63;202.63
201.17;202.66;200.63;200.63;200.63
199.82;201.20;199.82;201.20;201.20
199.44;201.39;199.44;201.39;201.39
199.70;200.52;197.46;200.52;200.52
199.72;200.69;199.72;200.69;200.69
201.08;201.08;199.63;199.63;199.63
199.52;199.52;195.84;197.00;197.00
199.88;203.46;199.88;202.78;202.78
203.00;205.18;202.24;205.18;205.18
204.60;206.28;204.60;206.28;206.28
0;0;0;0;0
210.93;215.78;210.93;215.78;215.78
214.40;214.46;209.43;209.43;209.43
209.62;213.43;205.74;213.43;213.43
212.83;218.04;212.83;216.08;216.08
214.35;214.35;213.06;214.03;214.03
215.88;215.88;212.93;212.93;212.93
212.20;215.15;212.20;215.15;215.15
213.25;219.00;213.25;219.00;219.00
216.66;218.63;216.66;218.63;218.63
218.98;218.98;216.33;216.33;216.33
214.90;217.95;214.90;217.95;217.95
215.20;215.20;210.53;210.53;210.53
211.10;212.95;211.10;212.95;212.95
210.75;213.70;210.75;213.70;213.70
214.85;214.85;209.20;209.20;209.20
208.30;208.30;208.30;208.30;208.30
