open;high;low;close;adj close
22.10;22.10;22.10;22.10;22.10
22.10;22.10;22.10;22.10;22.10
21.50;21.50;21.50;21.50;21.50
21.60;21.60;21.60;21.60;21.60
21.60;21.60;21.45;21.45;21.45
22.10;22.10;22.10;22.10;22.10
21.55;21.55;21.55;21.55;21.55
21.55;21.55;21.55;21.55;21.55
21.75;21.75;21.75;21.75;21.75
21.30;21.30;21.30;21.30;21.30
21.40;21.40;21.40;21.40;21.40
21.30;21.95;21.30;21.95;21.95
22.30;22.30;22.30;22.30;22.30
22.45;22.45;22.45;22.45;22.45
22.20;22.35;22.20;22.35;22.35
22.25;22.25;22.25;22.25;22.25
22.10;22.25;22.10;22.25;22.25
22.10;22.25;22.10;22.25;22.25
22.10;22.20;22.10;22.20;22.20
22.20;22.20;22.20;22.20;22.20
22.05;22.05;21.95;21.95;21.95
22.10;22.10;22.05;22.05;22.05
21.80;21.80;21.80;21.80;21.80
21.75;21.90;21.75;21.90;21.90
21.75;21.80;21.75;21.80;21.80
21.65;21.95;21.65;21.95;21.95
21.80;21.95;21.80;21.95;21.95
21.80;21.80;21.80;21.80;21.80
21.95;21.95;21.95;21.95;21.95
21.85;21.95;21.85;21.95;21.95
21.95;21.95;21.95;21.95;21.95
21.95;21.95;21.95;21.95;21.95
21.85;22.20;21.85;22.20;22.20
21.90;22.20;21.90;22.20;22.20
22.00;22.00;22.00;22.00;22.00
21.90;21.95;21.90;21.95;21.95
21.80;22.00;21.80;22.00;22.00
21.80;22.00;21.80;22.00;22.00
21.85;21.90;21.85;21.90;21.90
22.15;22.15;22.10;22.10;22.10
22.20;22.20;22.05;22.05;22.05
22.30;22.30;22.05;22.05;22.05
22.15;22.15;22.05;22.05;22.05
22.35;22.35;22.05;22.05;22.05
22.15;22.15;22.05;22.05;22.05
22.10;22.10;22.05;22.05;22.05
22.10;22.10;22.05;22.05;22.05
21.90;21.95;21.90;21.95;21.95
22.05;22.05;21.95;21.95;21.95
21.95;21.95;21.95;21.95;21.95
21.65;21.90;21.65;21.90;21.90
22.00;22.35;22.00;22.35;22.35
22.20;22.20;22.15;22.15;22.15
22.20;22.20;22.20;22.20;22.20
22.05;22.10;22.05;22.10;22.10
22.10;22.10;22.10;22.10;22.10
22.05;22.05;22.00;22.00;22.00
21.95;21.95;21.95;21.95;21.95
21.95;21.95;21.95;21.95;21.95
21.75;21.75;21.50;21.50;21.50
21.80;21.80;21.65;21.65;21.65
21.70;21.70;21.60;21.60;21.60
21.75;21.75;21.60;21.60;21.60
21.55;21.55;21.55;21.55;21.55
21.60;21.60;21.60;21.60;21.60
21.60;21.60;21.60;21.60;21.60
21.55;21.65;21.55;21.65;21.65
21.60;21.65;21.60;21.65;21.65
21.60;21.65;21.60;21.65;21.65
21.60;21.60;21.50;21.50;21.50
21.70;21.70;21.65;21.65;21.65
21.65;21.65;21.65;21.65;21.65
21.60;21.60;21.60;21.60;21.60
21.60;21.60;21.60;21.60;21.60
21.65;21.65;21.55;21.55;21.55
21.60;21.80;21.60;21.80;21.80
21.75;22.10;21.75;22.10;22.10
22.05;22.10;22.05;22.10;22.10
22.00;22.25;22.00;22.25;22.25
22.25;22.30;22.25;22.30;22.30
22.80;22.80;22.60;22.60;22.60
22.50;22.50;22.25;22.25;22.25
22.25;22.30;22.25;22.30;22.30
21.95;22.40;21.95;22.40;22.40
22.25;22.25;22.25;22.25;22.25
22.35;22.35;22.30;22.30;22.30
22.10;22.10;22.10;22.10;22.10
22.15;22.15;22.10;22.10;22.10
21.90;22.15;21.90;22.15;22.15
22.15;22.15;22.10;22.10;22.10
22.10;22.10;22.05;22.05;22.05
22.15;22.20;22.15;22.20;22.20
22.05;22.15;22.05;22.15;22.15
22.10;22.10;22.00;22.00;22.00
22.10;22.10;22.00;22.00;22.00
22.15;22.15;21.95;21.95;21.95
21.65;22.10;21.65;22.10;22.10
21.95;21.95;21.90;21.90;21.90
22.00;22.00;21.90;21.90;21.90
21.90;21.90;21.90;21.90;21.90
