open;high;low;close;adj close
71.54;72.63;71.54;72.63;72.63
72.63;72.63;72.63;72.63;72.63
77.82;79.96;77.82;79.96;79.96
80.24;80.51;80.24;80.51;80.51
79.49;79.49;77.97;77.97;77.97
77.78;79.09;77.78;79.09;79.09
78.44;78.44;77.68;77.68;77.68
78.72;78.72;78.03;78.03;78.03
77.68;79.13;77.68;79.13;79.13
79.08;79.13;79.08;79.13;79.13
79.63;79.63;77.61;77.61;77.61
75.75;75.75;75.31;75.31;75.31
74.55;74.84;74.55;74.84;74.84
74.89;74.89;74.47;74.47;74.47
73.65;74.05;73.65;74.05;74.05
72.85;73.47;72.85;73.47;73.47
75.69;75.69;74.49;74.49;74.49
74.47;74.47;72.13;72.13;72.13
71.43;71.43;71.28;71.28;71.28
71.28;71.28;71.28;71.28;71.28
72.11;72.11;71.99;71.99;71.99
71.51;72.58;71.51;72.58;72.58
72.85;73.13;72.85;73.13;73.13
72.99;73.19;72.99;73.19;73.19
74.89;76.02;74.89;76.02;76.02
76.38;76.38;75.97;75.97;75.97
75.39;76.32;75.39;76.32;76.32
76.44;76.44;76.44;76.44;76.44
77.25;77.25;75.21;75.21;75.21
75.34;75.34;75.23;75.23;75.23
73.29;73.29;73.17;73.17;73.17
73.00;73.34;73.00;73.34;73.34
73.82;74.60;73.82;74.60;74.60
75.01;75.01;75.01;75.01;75.01
74.33;74.33;74.33;74.33;74.33
74.56;74.73;74.56;74.73;74.73
75.16;75.16;74.55;74.55;74.55
74.59;74.65;73.97;74.65;74.65
73.00;73.00;72.21;72.21;72.21
71.72;73.24;71.72;73.24;73.24
74.11;75.02;74.11;75.02;75.02
75.51;75.51;73.06;73.06;73.06
73.33;73.72;73.33;73.72;73.72
73.55;73.87;73.55;73.87;73.87
74.65;74.65;73.83;73.83;73.83
73.49;73.49;72.98;72.98;72.98
73.40;73.51;73.40;73.51;73.51
73.97;73.97;73.54;73.54;73.54
72.71;72.93;72.71;72.93;72.93
72.93;72.93;72.66;72.66;72.66
72.69;72.69;72.32;72.32;72.32
72.86;72.86;72.55;72.55;72.55
72.33;72.33;72.33;72.33;72.33
72.88;72.88;71.69;71.69;71.69
71.70;73.01;71.70;73.01;73.01
72.56;72.93;72.56;72.93;72.93
71.77;73.52;71.77;73.52;73.52
72.31;72.31;70.66;70.66;70.66
69.81;69.81;67.89;67.89;67.89
67.83;67.83;67.39;67.39;67.39
67.86;67.88;67.86;67.88;67.88
68.48;68.48;68.33;68.33;68.33
68.68;68.68;67.11;67.11;67.11
68.81;68.81;66.53;66.53;66.53
65.69;65.82;65.69;65.82;65.82
65.73;65.73;65.42;65.42;65.42
64.74;67.72;64.74;67.72;67.72
69.19;69.28;69.19;69.28;69.28
69.84;69.84;68.81;68.81;68.81
69.05;70.58;69.05;70.58;70.58
70.59;70.59;69.81;69.81;69.81
69.94;69.94;68.93;68.93;68.93
68.07;68.51;68.07;68.51;68.51
68.06;68.06;67.58;67.58;67.58
67.31;67.45;67.31;67.45;67.45
66.48;67.42;66.48;67.42;67.42
67.59;68.11;67.59;68.11;68.11
68.36;68.47;68.36;68.47;68.47
68.56;68.56;66.97;66.97;66.97
66.77;66.77;65.64;65.64;65.64
66.17;66.30;66.17;66.30;66.30
66.22;66.22;66.05;66.05;66.05
65.46;65.46;65.33;65.33;65.33
0;0;0;0;0
66.62;67.58;65.76;66.27;66.27
65.93;65.93;65.44;65.44;65.44
65.60;66.66;65.60;66.66;66.66
65.69;66.92;65.69;66.92;66.92
67.43;67.43;67.07;67.07;67.07
67.82;67.90;67.82;67.90;67.90
68.27;68.27;68.00;68.00;68.00
68.72;69.23;68.72;69.23;69.23
68.02;68.02;67.57;67.57;67.57
66.98;66.98;65.96;65.96;65.96
65.59;66.33;65.47;65.47;65.47
65.50;65.50;64.71;64.82;64.82
65.30;65.30;63.48;63.48;63.48
62.50;62.50;62.33;62.33;62.33
62.12;62.12;60.16;60.16;60.16
59.29;59.29;59.29;59.29;59.29
