open;high;low;close;adj close
19.98;19.98;19.79;19.79;19.79
20.06;20.06;20.06;20.06;20.06
20.05;20.48;20.05;20.48;20.48
20.36;20.36;20.28;20.28;20.28
20.20;20.37;20.20;20.37;20.37
20.37;20.37;20.37;20.37;20.37
20.89;20.89;20.89;20.89;20.89
20.77;20.77;20.40;20.40;20.40
20.50;20.50;20.50;20.50;20.50
20.42;20.42;20.23;20.23;20.23
19.83;20.45;19.80;20.45;20.45
20.49;20.49;20.49;20.49;20.49
20.53;20.53;20.53;20.53;20.53
20.27;20.27;20.27;20.27;20.27
20.17;20.17;20.17;20.17;20.17
20.13;20.13;20.13;20.13;20.13
20.10;20.10;20.10;20.10;20.10
20.19;20.19;20.19;20.19;20.19
20.30;20.30;20.30;20.30;20.30
20.50;20.50;20.20;20.20;20.20
20.24;20.24;20.24;20.24;20.24
20.15;20.15;20.15;20.15;20.15
20.12;20.28;20.12;20.28;20.28
20.23;20.23;20.23;20.23;20.23
20.15;20.15;19.87;19.87;19.87
19.55;19.55;19.55;19.55;19.55
19.55;19.63;19.55;19.63;19.63
19.65;19.97;19.65;19.97;19.97
19.95;20.15;19.95;20.15;20.15
20.06;20.06;20.06;20.06;20.06
20.18;20.18;20.18;20.18;20.18
20.17;20.17;20.17;20.17;20.17
20.12;20.12;20.12;20.12;20.12
20.26;20.26;20.06;20.06;20.06
20.10;20.10;20.10;20.10;20.10
20.78;20.78;20.78;20.78;20.78
20.76;20.76;20.70;20.70;20.70
21.16;21.16;21.16;21.16;21.16
21.12;21.12;21.12;21.12;21.12
20.75;20.75;20.75;20.75;20.75
20.29;20.29;20.29;20.29;20.29
20.53;20.53;20.53;20.53;20.53
20.64;20.64;20.64;20.64;20.64
19.87;19.87;19.87;19.87;19.87
19.63;19.63;19.06;19.06;19.06
19.03;19.03;18.76;18.76;18.76
18.24;18.24;18.24;18.24;18.24
18.55;18.55;18.55;18.55;18.55
18.45;18.45;18.32;18.32;18.32
18.13;18.13;18.13;18.13;18.13
18.05;18.25;18.04;18.25;18.25
18.41;18.41;17.53;17.53;17.53
17.17;17.32;17.17;17.32;17.32
17.56;18.10;17.56;18.10;18.10
17.90;17.90;17.54;17.54;17.54
17.74;17.74;17.74;17.74;17.74
16.67;17.58;16.67;17.07;17.07
17.26;17.26;17.26;17.26;17.26
17.32;17.32;17.32;17.32;17.32
17.50;17.66;17.47;17.47;17.47
17.95;17.95;17.52;17.52;17.52
17.49;17.49;17.49;17.49;17.49
18.13;18.13;18.13;18.13;18.13
18.24;18.24;17.93;17.93;17.93
17.87;17.98;17.87;17.98;17.98
18.38;18.38;18.38;18.38;18.38
18.60;18.88;18.60;18.88;18.88
18.92;18.92;18.92;18.92;18.92
19.00;19.17;19.00;19.17;19.17
0;0;0;0;0
20.20;20.20;20.09;20.09;20.09
20.16;20.16;20.05;20.05;20.05
20.68;20.68;20.68;20.68;20.68
20.69;20.69;20.69;20.69;20.69
20.48;20.48;20.36;20.36;20.36
20.25;20.25;20.01;20.01;20.01
20.00;20.00;19.92;19.92;19.92
19.77;19.77;19.77;19.77;19.77
19.52;19.52;19.52;19.52;19.52
19.67;19.67;19.56;19.56;19.56
19.33;19.33;19.33;19.33;19.33
19.31;19.31;19.25;19.25;19.25
19.25;19.35;19.25;19.35;19.35
19.28;19.28;19.15;19.15;19.15
19.26;19.26;19.22;19.22;19.22
19.14;19.14;19.14;19.14;19.14
