open;high;low;close;adj close
8.82;8.82;8.82;8.82;8.82
8.79;8.88;8.79;8.88;8.88
8.89;8.89;8.76;8.76;8.76
8.15;8.15;7.76;7.76;7.76
7.76;7.76;7.76;7.76;7.76
8.19;8.19;8.19;8.19;8.19
8.16;8.19;8.15;8.19;8.19
8.26;8.26;8.26;8.26;8.26
8.29;8.29;8.29;8.29;8.29
8.31;8.34;8.31;8.32;8.32
8.59;8.59;8.55;8.55;8.55
8.48;8.48;8.48;8.48;8.48
8.24;8.24;8.24;8.24;8.24
8.19;8.19;8.19;8.19;8.19
8.20;8.20;8.20;8.20;8.20
8.18;8.18;8.18;8.18;8.18
8.38;8.38;8.38;8.38;8.38
8.33;8.33;8.33;8.33;8.33
8.44;8.44;8.40;8.40;8.40
8.42;8.42;8.42;8.42;8.42
8.51;8.51;8.51;8.51;8.51
8.58;8.59;8.58;8.59;8.59
8.11;8.13;8.11;8.13;8.13
8.21;8.28;8.21;8.28;8.28
8.18;8.18;8.16;8.16;8.16
8.14;8.21;8.14;8.21;8.21
8.33;8.33;8.33;8.33;8.33
8.36;8.37;8.36;8.37;8.37
8.35;8.35;8.35;8.35;8.35
8.44;8.44;8.44;8.44;8.44
8.30;8.30;8.30;8.30;8.30
8.18;8.18;8.18;8.18;8.18
8.13;8.13;8.13;8.13;8.13
8.08;8.29;8.08;8.29;8.29
8.58;8.58;8.58;8.58;8.58
8.54;8.64;8.54;8.64;8.64
8.50;8.50;8.50;8.50;8.50
8.47;8.47;8.47;8.47;8.47
8.43;8.43;8.43;8.43;8.43
8.45;8.45;8.45;8.45;8.45
8.46;8.46;8.46;8.46;8.46
8.46;8.46;8.46;8.46;8.46
8.43;8.43;8.43;8.43;8.43
8.47;8.59;8.43;8.43;8.43
8.38;8.38;8.34;8.34;8.34
8.21;8.21;8.21;8.21;8.21
8.66;8.91;8.66;8.91;8.91
8.89;8.92;8.89;8.92;8.92
9.13;9.13;9.13;9.13;9.13
9.09;9.31;9.09;9.31;9.31
9.29;9.29;9.06;9.06;9.06
9.00;9.17;9.00;9.17;9.17
9.18;9.18;9.08;9.08;9.08
9.05;9.05;8.90;8.90;8.90
9.20;9.20;9.20;9.20;9.20
9.18;9.35;9.18;9.35;9.35
9.38;9.39;9.38;9.39;9.39
9.32;9.32;9.32;9.32;9.32
9.11;9.11;9.11;9.11;9.11
8.98;8.98;8.97;8.97;8.97
8.93;8.93;8.93;8.93;8.93
8.97;9.07;8.97;9.07;9.07
9.12;9.14;9.12;9.14;9.14
9.08;9.08;8.97;8.97;8.97
9.14;9.14;9.14;9.14;9.14
9.15;9.19;9.15;9.19;9.19
9.33;9.33;9.10;9.10;9.10
9.17;9.30;9.17;9.30;9.30
0;0;0;0;0
9.44;9.52;9.44;9.52;9.52
9.51;9.51;9.38;9.38;9.38
9.57;9.57;9.57;9.57;9.57
9.71;9.71;9.71;9.71;9.71
9.71;9.71;9.66;9.66;9.66
9.57;9.57;9.52;9.52;9.52
9.46;9.55;9.46;9.55;9.55
9.47;9.47;9.47;9.47;9.47
9.39;9.39;9.36;9.36;9.36
9.32;9.32;9.26;9.26;9.26
9.29;9.29;9.29;9.29;9.29
9.32;9.41;9.32;9.41;9.41
9.45;9.45;9.45;9.45;9.45
9.53;9.65;9.53;9.65;9.65
9.57;9.57;9.52;9.52;9.52
9.51;9.51;9.51;9.51;9.51
