open;high;low;close;adj close
183.66;184.12;183.28;184.12;184.12
182.62;182.62;180.10;181.32;181.32
181.06;184.20;181.02;184.20;184.20
182.94;183.52;181.80;183.52;183.52
182.36;182.36;180.84;181.63;181.63
182.55;182.55;182.55;182.55;182.55
181.38;181.40;181.00;181.13;181.13
180.94;180.94;180.22;180.22;180.22
181.24;181.24;179.36;179.36;179.36
180.92;180.96;180.90;180.90;180.90
180.38;180.54;179.76;179.76;179.76
179.02;179.02;178.02;178.41;178.41
178.92;179.27;178.72;179.27;179.27
177.54;177.67;177.14;177.67;177.67
175.74;177.38;175.70;176.86;176.86
177.20;178.90;177.12;178.90;178.90
179.20;180.00;178.72;180.00;180.00
180.99;181.36;180.20;180.65;180.65
181.80;181.80;181.30;181.30;181.30
181.30;181.30;181.30;181.30;181.30
180.64;183.29;180.64;183.29;183.29
181.81;182.20;180.95;180.95;180.95
181.63;182.04;181.46;181.88;181.88
180.14;182.83;180.14;182.83;182.83
181.14;184.04;181.14;183.78;183.78
184.00;184.45;184.00;184.45;184.45
184.28;184.28;183.33;183.33;183.33
183.30;184.10;183.30;184.10;184.10
181.50;181.89;181.48;181.89;181.89
182.04;182.65;182.04;182.65;182.65
183.17;184.10;183.17;184.10;184.10
183.78;185.45;183.32;185.45;185.45
186.50;187.16;185.95;185.95;185.95
189.50;190.10;188.80;189.70;189.70
189.80;190.32;189.80;189.95;189.95
189.84;189.98;189.84;189.90;189.90
190.50;190.84;190.50;190.84;190.84
191.14;191.96;190.96;191.96;191.96
190.82;192.26;190.82;192.26;192.26
191.10;191.32;191.02;191.02;191.02
191.31;191.58;191.20;191.58;191.58
190.32;190.40;190.13;190.13;190.13
189.78;190.28;189.26;189.26;189.26
189.92;189.94;189.92;189.94;189.94
189.70;191.05;189.70;191.05;191.05
190.00;190.00;186.18;186.18;186.18
184.50;185.43;184.50;185.43;185.43
185.24;185.42;184.77;184.77;184.77
183.77;183.77;182.60;182.60;182.60
184.44;184.44;184.08;184.08;184.08
185.05;185.32;185.04;185.32;185.32
187.00;187.18;185.94;185.94;185.94
184.44;187.81;184.44;187.81;187.81
189.10;189.13;188.44;188.44;188.44
186.34;186.70;185.82;186.32;186.32
182.30;187.36;182.30;187.32;187.32
186.28;186.67;186.28;186.67;186.67
182.30;182.30;180.25;180.25;180.25
180.75;180.75;178.62;178.94;178.94
175.86;177.52;175.86;177.52;177.52
179.54;179.54;175.68;175.68;175.68
177.45;178.36;176.66;177.19;177.19
178.98;178.98;176.53;176.53;176.53
178.36;178.62;176.29;176.29;176.29
175.88;179.02;175.34;177.81;177.81
177.90;178.02;175.14;176.51;176.51
179.50;180.60;179.50;180.33;180.33
181.72;182.14;180.72;180.72;180.72
181.65;182.08;179.98;180.02;180.02
180.14;180.16;179.42;179.44;179.44
180.02;181.05;179.40;181.05;181.05
184.90;184.90;178.17;178.17;178.17
178.60;179.10;177.92;178.83;178.83
180.64;180.64;179.63;179.63;179.63
179.10;180.50;178.26;180.50;180.50
180.56;183.18;180.56;183.18;183.18
184.05;184.86;184.05;184.58;184.58
184.79;184.79;184.79;184.79;184.79
184.43;184.78;183.41;183.41;183.41
184.44;184.44;183.04;183.04;183.04
184.73;185.46;183.68;185.46;185.46
185.24;185.42;185.23;185.23;185.23
186.16;187.53;185.98;187.53;187.53
0;0;0;0;0
188.59;190.46;188.59;190.46;190.46
191.96;192.33;191.80;192.33;192.33
190.50;192.58;190.50;192.58;192.58
191.82;192.50;191.82;192.50;192.50
191.25;191.25;190.06;190.06;190.06
189.91;189.91;189.36;189.40;189.40
190.53;191.18;190.44;191.18;191.18
189.50;191.00;189.50;189.85;189.85
189.34;189.34;189.12;189.12;189.12
189.71;189.98;189.20;189.20;189.20
187.50;189.43;187.50;189.43;189.43
189.87;189.87;188.95;188.95;188.95
189.61;189.73;181.00;189.73;189.73
190.30;191.28;190.30;191.28;191.28
191.70;192.30;190.28;190.28;190.28
189.28;189.28;188.26;188.32;188.32
