open;high;low;close;adj close
37.03;37.03;37.03;37.03;37.03
37.84;37.84;37.84;37.84;37.84
37.99;37.99;37.99;37.99;37.99
37.71;37.71;37.71;37.71;37.71
37.54;37.54;37.54;37.54;37.54
37.98;37.98;37.98;37.98;37.98
38.02;38.10;38.00;38.10;38.10
38.00;38.30;38.00;38.30;38.30
38.33;38.33;38.05;38.05;38.05
38.23;38.23;38.23;38.23;38.23
37.88;37.88;37.85;37.85;37.85
37.84;37.84;37.84;37.84;37.84
37.56;37.56;37.56;37.56;37.56
37.71;37.71;37.71;37.71;37.71
38.05;38.05;38.05;38.05;38.05
37.96;37.96;37.88;37.88;37.88
37.70;37.92;37.70;37.92;37.92
38.21;38.21;38.21;38.21;38.21
38.68;38.68;38.05;38.05;38.05
38.35;38.35;38.35;38.35;38.35
37.74;37.74;37.74;37.74;37.74
37.91;37.91;37.91;37.91;37.91
38.29;38.29;38.29;38.29;38.29
38.54;38.54;38.54;38.54;38.54
39.19;39.19;39.19;39.19;39.19
38.13;38.13;38.13;38.13;38.13
38.11;38.11;37.56;37.56;37.56
36.88;37.41;36.88;37.41;37.41
36.92;36.92;36.92;36.92;36.92
37.76;38.12;37.76;38.12;38.12
38.18;38.33;38.18;38.33;38.33
38.17;38.17;38.17;38.17;38.17
37.92;38.09;37.92;38.09;38.09
38.36;38.36;37.72;37.72;37.72
37.86;38.09;37.86;38.09;38.09
38.32;38.46;38.32;38.46;38.46
38.60;38.88;38.60;38.88;38.88
38.33;38.33;38.33;38.33;38.33
38.40;38.43;38.40;38.43;38.43
38.43;38.43;38.43;38.43;38.43
37.44;37.44;37.44;37.44;37.44
37.98;37.98;37.98;37.98;37.98
38.11;38.45;38.11;38.45;38.45
38.31;38.31;38.31;38.31;38.31
38.81;38.81;38.77;38.77;38.77
39.05;39.05;39.05;39.05;39.05
39.00;39.00;38.43;38.43;38.43
37.55;37.55;37.55;37.55;37.55
38.39;38.43;38.39;38.43;38.43
38.62;39.49;38.62;39.49;39.49
39.47;39.47;38.27;38.27;38.27
0;0;0;0;0
37.39;37.89;37.39;37.89;37.89
38.49;38.70;38.49;38.70;38.70
38.17;38.17;38.17;38.17;38.17
38.17;38.17;38.17;38.17;38.17
38.09;38.38;38.09;38.38;38.38
38.24;38.66;38.24;38.66;38.66
38.73;39.02;38.73;39.02;39.02
39.20;39.20;39.20;39.20;39.20
39.33;39.33;39.33;39.33;39.33
39.44;39.44;39.04;39.04;39.04
38.46;38.46;38.46;38.46;38.46
38.49;38.91;38.49;38.57;38.57
38.83;38.83;37.61;37.61;37.61
36.92;37.31;36.92;37.31;37.31
37.52;37.52;36.97;36.97;36.97
36.85;36.85;36.85;36.85;36.85
