open;high;low;close;adj close
8.65;8.65;8.65;8.65;8.65
8.65;8.65;8.65;8.65;8.65
8.37;8.74;8.37;8.69;8.69
8.74;8.74;8.74;8.74;8.74
8.95;8.95;8.95;8.95;8.95
8.93;9.00;8.93;9.00;9.00
9.06;9.35;9.06;9.35;9.35
9.24;9.24;9.11;9.11;9.11
9.09;9.09;9.09;9.09;9.09
9.14;9.14;9.06;9.06;9.06
8.98;9.07;8.98;9.07;9.07
9.02;9.02;8.65;8.65;8.65
8.59;8.59;8.59;8.59;8.59
8.55;8.55;8.55;8.55;8.55
8.57;8.57;8.57;8.57;8.57
8.52;8.62;8.52;8.62;8.62
8.59;8.65;8.59;8.65;8.65
8.68;8.68;8.66;8.66;8.66
8.66;8.66;8.23;8.23;8.23
8.23;8.23;8.23;8.23;8.23
8.28;8.41;8.28;8.41;8.41
8.42;8.63;8.42;8.63;8.63
8.59;8.59;8.48;8.48;8.48
8.47;8.47;8.26;8.26;8.26
8.36;8.49;8.36;8.43;8.43
8.41;8.41;8.37;8.37;8.37
8.47;8.60;8.47;8.60;8.60
8.48;8.48;8.48;8.48;8.48
8.48;8.49;8.48;8.49;8.49
8.40;8.40;8.40;8.40;8.40
8.34;8.34;8.34;8.34;8.34
8.30;8.34;8.30;8.34;8.34
8.31;8.31;8.28;8.28;8.28
8.62;8.62;8.62;8.62;8.62
8.60;8.63;8.60;8.63;8.63
8.65;8.86;8.65;8.86;8.86
8.89;8.89;8.89;8.89;8.89
8.85;8.88;8.85;8.88;8.88
8.88;8.88;8.85;8.85;8.85
8.80;8.80;8.78;8.78;8.78
8.84;8.84;8.81;8.81;8.81
8.84;8.90;8.84;8.90;8.90
8.95;9.10;8.95;9.10;9.10
9.19;9.22;9.19;9.22;9.22
9.27;9.27;9.10;9.10;9.10
9.11;9.11;9.06;9.06;9.06
9.06;9.06;9.06;9.06;9.06
9.07;9.07;9.04;9.04;9.04
9.03;9.09;9.03;9.09;9.09
9.15;9.15;9.12;9.12;9.12
9.14;9.14;9.06;9.06;9.06
9.08;9.10;9.08;9.10;9.10
9.14;9.20;9.14;9.20;9.20
9.19;9.19;9.11;9.11;9.11
9.10;9.10;9.06;9.06;9.06
9.09;9.09;9.03;9.03;9.03
9.08;9.09;9.08;9.09;9.09
8.99;8.99;8.95;8.95;8.95
9.00;9.09;9.00;9.09;9.09
9.19;9.39;9.19;9.39;9.39
9.51;9.51;9.51;9.51;9.51
9.56;9.64;9.56;9.64;9.64
9.59;9.67;9.59;9.67;9.67
9.77;9.77;9.74;9.74;9.74
9.77;9.77;9.41;9.41;9.41
9.47;9.47;9.46;9.46;9.46
9.07;9.38;9.07;9.38;9.38
9.63;9.63;9.59;9.59;9.59
9.60;9.60;9.55;9.55;9.55
9.69;9.69;9.69;9.69;9.69
9.65;9.65;9.65;9.65;9.65
9.72;9.80;9.72;9.80;9.80
9.82;9.82;9.73;9.73;9.73
9.67;9.69;9.67;9.69;9.69
9.68;9.68;9.60;9.60;9.60
9.60;9.80;9.60;9.80;9.80
9.77;9.79;9.77;9.79;9.79
9.60;9.60;9.31;9.31;9.31
9.28;9.28;9.15;9.15;9.15
9.23;9.28;9.23;9.28;9.28
9.25;9.25;9.24;9.24;9.24
9.24;9.26;9.24;9.26;9.26
9.31;9.31;9.20;9.20;9.20
0;0;0;0;0
9.20;9.27;9.20;9.27;9.27
9.28;9.28;9.28;9.28;9.28
9.25;9.32;9.25;9.32;9.32
9.51;9.51;9.51;9.51;9.51
9.65;9.65;9.65;9.65;9.65
9.67;9.97;9.67;9.97;9.97
9.97;9.97;9.84;9.84;9.84
9.78;9.84;9.78;9.84;9.84
9.61;9.61;9.49;9.49;9.49
9.49;9.53;9.49;9.53;9.53
9.41;9.41;9.35;9.35;9.35
9.39;9.39;9.32;9.32;9.32
9.36;9.42;9.36;9.42;9.42
9.22;9.23;9.22;9.23;9.23
9.39;9.39;9.35;9.35;9.35
9.35;9.35;9.35;9.35;9.35
