open;high;low;close;adj close
67.75;67.75;67.75;67.75;67.75
72.79;78.36;72.79;78.36;78.36
82.12;82.12;82.12;82.12;82.12
83.63;83.63;80.17;81.24;81.24
79.21;79.21;79.21;79.21;79.21
72.09;72.09;72.09;72.09;72.09
71.50;71.50;71.50;71.50;71.50
73.63;73.63;73.63;73.63;73.63
73.68;73.68;73.64;73.64;73.64
72.99;72.99;72.99;72.99;72.99
73.01;76.88;73.01;76.88;76.88
78.90;81.73;78.00;81.73;81.73
89.98;94.29;87.91;88.57;88.57
88.09;91.79;86.77;91.04;91.04
92.70;95.90;92.70;93.00;93.00
88.36;88.36;88.36;88.36;88.36
91.67;93.44;89.70;89.70;89.70
91.57;91.57;88.51;88.51;88.51
103.26;114.90;103.26;112.98;112.98
112.98;112.98;112.98;112.98;112.98
155.04;155.04;115.00;118.22;118.22
106.70;120.68;106.70;120.68;120.68
127.54;127.54;127.54;127.54;127.54
135.08;135.08;135.08;135.08;135.08
164.22;179.97;150.66;150.66;150.66
147.90;156.02;147.90;151.93;151.93
151.93;151.93;146.15;146.15;146.15
138.94;138.94;135.85;135.85;135.85
137.50;137.50;123.36;123.36;123.36
120.00;120.00;117.90;117.90;117.90
136.50;137.61;136.50;137.61;137.61
138.32;138.32;138.32;138.32;138.32
145.14;145.14;145.14;145.14;145.14
138.18;138.18;138.18;138.18;138.18
136.00;136.00;136.00;136.00;136.00
134.90;134.90;134.90;134.90;134.90
135.27;135.27;135.27;135.27;135.27
135.08;135.08;135.08;135.08;135.08
136.50;140.50;136.50;140.50;140.50
139.10;139.50;139.10;139.50;139.50
140.50;142.50;140.50;142.50;142.50
149.50;149.50;149.50;149.50;149.50
148.50;148.50;148.50;148.50;148.50
146.00;150.50;146.00;150.50;150.50
146.00;153.50;146.00;153.50;153.50
153.50;153.50;150.50;150.50;150.50
151.50;151.50;151.50;151.50;151.50
155.84;155.84;155.84;155.84;155.84
172.67;172.67;172.67;172.67;172.67
178.21;178.21;178.21;178.21;178.21
176.08;181.49;174.56;181.49;181.49
189.30;189.30;189.30;189.30;189.30
216.72;216.72;216.00;216.00;216.00
216.50;216.50;198.10;198.10;198.10
176.10;176.10;176.10;176.10;176.10
179.00;182.37;175.92;182.37;182.37
161.74;161.74;161.74;161.74;161.74
155.48;161.19;155.48;161.19;161.19
161.10;161.10;156.76;156.76;156.76
155.00;155.00;150.19;150.19;150.19
150.00;150.00;140.82;144.02;144.02
149.85;151.92;144.60;145.13;145.13
142.35;145.25;142.35;145.25;145.25
150.21;150.21;150.21;150.21;150.21
151.00;151.00;148.99;148.99;148.99
146.11;146.11;146.11;146.11;146.11
129.02;131.18;129.02;131.18;131.18
133.26;133.26;130.63;130.63;130.63
135.94;140.40;135.94;139.16;139.16
141.42;141.42;139.80;139.80;139.80
140.00;140.00;134.36;134.36;134.36
134.36;134.36;134.36;134.36;134.36
137.00;137.00;137.00;137.00;137.00
141.45;141.45;141.45;141.45;141.45
142.29;142.29;142.29;142.29;142.29
144.30;146.34;144.30;146.34;146.34
153.46;153.46;153.46;153.46;153.46
152.91;152.91;152.91;152.91;152.91
152.42;152.42;149.92;149.92;149.92
148.69;148.69;148.69;148.69;148.69
150.33;150.68;150.33;150.68;150.68
142.26;142.26;140.40;140.40;140.40
141.04;141.04;135.56;135.56;135.56
0;0;0;0;0
132.51;136.72;132.51;136.72;136.72
138.90;138.90;138.86;138.86;138.86
140.20;140.20;140.20;140.20;140.20
139.56;144.01;139.56;144.01;144.01
144.50;145.11;144.50;145.11;145.11
144.20;144.20;143.02;143.02;143.02
140.67;140.67;140.34;140.34;140.34
141.31;141.31;141.31;141.31;141.31
141.42;141.42;135.35;135.35;135.35
135.38;135.38;129.77;129.77;129.77
128.86;128.86;124.93;124.93;124.93
126.14;137.17;126.14;137.17;137.17
140.99;141.06;139.61;139.61;139.61
140.08;140.08;136.50;136.50;136.50
133.50;133.50;133.50;133.50;133.50
135.50;135.50;135.50;135.50;135.50
