open;high;low;close;adj close
32.90;33.05;32.50;32.75;32.75
32.40;33.55;32.40;33.55;33.55
33.10;33.75;33.10;33.30;33.30
33.05;33.50;33.05;33.50;33.50
33.55;33.90;33.50;33.50;33.50
33.50;34.15;33.35;34.15;34.15
34.15;34.25;33.70;33.75;33.75
33.55;34.10;32.95;34.10;34.10
33.15;34.15;33.15;34.15;34.15
33.90;34.20;33.90;33.95;33.95
33.90;34.10;33.90;34.00;34.00
33.65;34.10;33.60;33.95;33.95
33.70;34.00;33.05;33.50;33.50
33.75;33.75;33.10;33.25;33.25
33.30;33.60;33.10;33.35;33.35
33.65;33.65;32.85;32.95;32.95
32.75;33.70;32.70;33.65;33.65
33.65;33.70;32.80;33.20;33.20
33.00;33.15;32.80;33.15;33.15
33.15;33.15;33.15;33.15;33.15
33.15;33.25;32.75;32.85;32.85
32.65;33.00;32.65;32.75;32.75
32.55;33.05;32.55;32.85;32.85
32.60;32.85;32.50;32.65;32.65
32.90;33.40;32.55;33.00;33.00
33.00;33.15;32.50;32.90;32.90
33.25;33.30;32.55;32.60;32.60
32.60;32.75;32.35;32.35;32.35
32.40;32.80;32.30;32.50;32.50
32.10;33.00;32.10;32.75;32.75
32.15;32.75;32.05;32.30;32.30
32.30;32.30;31.80;31.80;31.80
32.30;32.30;31.80;32.30;32.30
32.40;32.80;32.30;32.75;32.75
32.65;32.95;32.45;32.75;32.75
32.55;33.35;32.55;33.35;33.35
33.45;33.45;32.90;33.40;33.40
33.50;33.65;32.65;32.70;32.70
32.70;33.15;32.70;32.90;32.90
33.20;33.20;33.00;33.15;33.15
33.15;33.15;32.55;32.80;32.80
33.20;33.20;32.70;32.75;32.75
32.50;32.80;32.10;32.45;32.45
32.65;32.75;32.15;32.30;32.30
32.65;32.65;31.85;31.95;31.95
31.90;32.35;31.60;32.15;32.15
31.85;32.30;31.80;31.95;31.95
31.90;32.35;31.90;32.10;32.10
31.80;32.25;31.70;32.20;32.20
32.20;32.20;31.85;32.10;32.10
32.10;32.55;32.10;32.10;32.10
32.00;32.45;32.00;32.15;32.15
32.60;32.60;31.55;31.65;31.65
31.60;32.10;31.60;32.05;32.05
32.25;32.25;31.70;31.75;31.75
32.05;32.05;31.45;31.80;31.80
32.00;32.15;31.70;31.80;31.80
32.00;32.25;31.40;32.00;32.00
32.00;32.15;31.80;32.00;32.00
31.85;32.10;31.65;31.80;31.80
32.05;32.15;31.85;32.05;32.05
31.85;32.30;31.85;32.05;32.05
32.10;32.50;32.05;32.15;32.15
32.10;32.50;31.95;32.20;32.20
32.00;32.40;31.90;32.35;32.35
32.10;32.30;31.65;31.70;31.70
31.55;32.05;31.55;31.70;31.70
32.00;32.35;31.80;31.85;31.85
31.80;32.15;31.35;31.35;31.35
31.25;31.60;31.15;31.55;31.55
31.70;31.85;31.15;31.30;31.30
31.20;31.75;31.20;31.50;31.50
31.15;31.50;30.65;31.25;31.25
31.50;31.50;31.05;31.25;31.25
31.05;31.50;31.00;31.15;31.15
31.00;31.50;30.70;31.20;31.20
31.05;32.20;31.05;32.20;32.20
32.30;32.35;31.95;31.95;31.95
31.90;32.15;31.55;31.90;31.90
32.00;32.15;31.75;31.75;31.75
31.70;31.70;31.40;31.70;31.70
31.50;31.95;31.45;31.50;31.50
31.50;32.00;31.05;31.05;31.05
31.20;31.20;30.35;30.40;30.40
30.45;30.70;30.45;30.70;30.70
30.65;31.00;30.50;30.65;30.65
30.70;30.90;30.50;30.80;30.80
30.70;31.30;30.70;31.05;31.05
30.95;31.90;30.95;31.90;31.90
31.10;32.35;31.10;32.25;32.25
31.70;32.40;31.70;32.30;32.30
32.50;32.75;32.30;32.45;32.45
32.00;32.45;31.80;32.45;32.45
32.45;32.65;32.35;32.60;32.60
32.70;32.70;32.15;32.45;32.45
32.70;32.90;32.00;32.60;32.60
32.70;32.80;32.40;32.45;32.45
32.75;32.75;32.10;32.55;32.55
32.15;32.75;32.15;32.70;32.70
32.40;32.75;32.35;32.65;32.65
