open;high;low;close;adj close
6.39;6.41;6.39;6.41;6.41
6.42;6.48;6.42;6.48;6.48
6.51;6.51;6.42;6.42;6.42
6.46;6.46;6.44;6.44;6.44
6.44;6.44;6.44;6.44;6.44
6.46;6.55;6.46;6.55;6.55
6.56;6.56;6.49;6.49;6.49
6.54;6.54;6.54;6.54;6.54
6.57;6.57;6.54;6.54;6.54
6.54;6.77;6.54;6.77;6.77
6.77;6.77;6.72;6.72;6.72
6.71;6.72;6.71;6.72;6.72
6.73;6.73;6.73;6.73;6.73
6.77;6.83;6.77;6.83;6.83
6.82;6.87;6.82;6.87;6.87
6.81;6.81;6.81;6.81;6.81
6.79;6.79;6.77;6.77;6.77
6.80;6.86;6.80;6.86;6.86
6.89;6.93;6.89;6.93;6.93
6.96;6.96;6.96;6.96;6.96
6.95;7.13;6.95;7.13;7.13
7.03;7.10;7.03;7.10;7.10
7.09;7.12;7.09;7.12;7.12
7.11;7.11;7.08;7.08;7.08
7.05;7.05;6.99;6.99;6.99
6.92;7.10;6.92;7.10;7.10
7.09;7.24;7.09;7.24;7.24
7.23;7.23;7.22;7.22;7.22
7.19;7.21;7.19;7.21;7.21
7.22;7.27;7.22;7.27;7.27
7.27;7.27;7.26;7.26;7.26
7.27;7.28;7.27;7.28;7.28
7.26;7.28;7.26;7.28;7.28
7.28;7.30;7.28;7.30;7.30
7.28;7.30;7.28;7.30;7.30
7.29;7.34;7.29;7.34;7.34
7.31;7.44;7.31;7.44;7.44
7.42;7.46;7.42;7.46;7.46
7.44;7.44;7.40;7.40;7.40
7.38;7.38;7.28;7.28;7.28
7.26;7.26;7.26;7.26;7.26
7.26;7.30;7.26;7.30;7.30
7.32;7.32;7.32;7.32;7.32
7.30;7.30;7.19;7.19;7.19
7.19;7.22;7.19;7.22;7.22
7.19;7.21;7.19;7.21;7.21
7.27;7.45;7.27;7.45;7.45
7.47;7.50;7.47;7.50;7.50
7.48;7.58;7.48;7.58;7.58
7.59;7.59;7.58;7.58;7.58
7.57;7.57;7.55;7.55;7.55
7.52;7.58;7.52;7.58;7.58
7.59;7.63;7.59;7.63;7.63
7.65;7.65;7.65;7.65;7.65
7.70;7.70;7.67;7.67;7.67
7.69;7.69;7.68;7.68;7.68
7.68;7.68;7.66;7.66;7.66
7.70;7.70;7.70;7.70;7.70
7.82;7.88;7.82;7.88;7.88
8.00;8.11;8.00;8.11;8.11
8.08;8.42;8.08;8.42;8.42
8.39;8.53;8.36;8.53;8.53
8.58;8.58;8.13;8.13;8.13
8.12;8.32;8.12;8.32;8.32
8.36;8.36;8.29;8.29;8.29
7.96;7.96;7.75;7.75;7.75
7.80;7.89;7.80;7.89;7.89
7.87;7.87;7.85;7.85;7.85
0;0;0;0;0
7.97;7.98;7.97;7.98;7.98
7.99;8.02;7.99;8.02;8.02
8.04;8.04;8.02;8.02;8.02
8.02;8.02;8.00;8.00;8.00
8.03;8.03;8.03;8.03;8.03
8.06;8.06;8.05;8.05;8.05
8.08;8.26;8.08;8.26;8.26
8.32;8.32;8.24;8.24;8.24
8.28;8.28;8.28;8.28;8.28
8.30;8.46;8.30;8.46;8.46
8.46;8.46;8.36;8.36;8.36
8.39;8.46;8.39;8.46;8.46
8.46;8.46;8.41;8.41;8.41
8.45;8.47;8.45;8.47;8.47
8.48;8.48;8.43;8.43;8.43
8.41;8.41;8.41;8.41;8.41
