open;high;low;close;adj close
116.85;116.85;116.85;116.85;116.85
117.80;117.80;117.80;117.80;117.80
118.35;118.35;118.35;118.35;118.35
118.30;118.30;118.30;118.30;118.30
117.75;117.75;117.75;117.75;117.75
117.45;117.45;117.45;117.45;117.45
118.50;118.50;118.50;118.50;118.50
118.25;118.25;118.25;118.25;118.25
120.15;120.15;120.15;120.15;120.15
120.75;120.75;120.75;120.75;120.75
120.85;120.85;120.85;120.85;120.85
117.60;117.60;117.60;117.60;117.60
116.75;117.70;116.75;117.70;117.70
117.70;117.70;117.70;117.70;117.70
116.75;117.20;116.75;117.20;117.20
115.75;115.75;115.75;115.75;115.75
115.85;115.95;115.85;115.95;115.95
118.10;118.80;118.10;118.80;118.80
119.05;119.80;119.05;119.80;119.80
119.80;119.80;119.80;119.80;119.80
119.30;119.30;119.30;119.30;119.30
119.30;121.85;119.30;121.85;121.85
121.40;121.40;121.40;121.40;121.40
117.80;117.80;117.80;117.80;117.80
118.45;120.10;118.45;119.45;119.45
118.35;118.35;118.35;118.35;118.35
118.40;118.40;118.40;118.40;118.40
117.40;117.40;117.40;117.40;117.40
117.80;118.30;117.80;118.30;118.30
118.95;118.95;118.95;118.95;118.95
118.20;118.20;118.20;118.20;118.20
115.55;115.55;115.55;115.55;115.55
116.90;116.90;116.90;116.90;116.90
117.75;117.75;117.55;117.55;117.55
117.65;117.65;117.65;117.65;117.65
123.50;123.50;123.50;123.50;123.50
123.35;123.35;122.80;122.80;122.80
121.50;121.50;121.50;121.50;121.50
122.30;123.55;122.30;123.55;123.55
123.50;123.50;122.90;122.90;122.90
122.20;122.50;122.20;122.50;122.50
122.45;122.45;122.15;122.15;122.15
121.95;121.95;120.40;120.40;120.40
120.85;120.85;120.85;120.85;120.85
120.20;120.20;120.20;120.20;120.20
119.35;119.35;119.35;119.35;119.35
119.45;119.45;119.45;119.45;119.45
120.00;120.10;120.00;120.10;120.10
120.45;120.45;120.20;120.20;120.20
120.95;120.95;120.95;120.95;120.95
120.90;121.15;120.90;121.15;121.15
122.60;122.60;122.60;122.60;122.60
124.35;124.35;124.35;124.35;124.35
121.50;121.50;121.50;121.50;121.50
121.80;121.80;121.80;121.80;121.80
123.20;123.20;123.20;123.20;123.20
123.45;123.45;123.45;123.45;123.45
122.50;122.50;122.50;122.50;122.50
121.60;121.60;117.10;117.10;117.10
117.00;117.00;117.00;117.00;117.00
117.50;117.50;117.50;117.50;117.50
118.80;131.25;118.25;131.25;131.25
131.65;131.65;131.05;131.05;131.05
130.55;130.55;130.55;130.55;130.55
131.10;131.10;130.20;130.20;130.20
130.35;130.35;127.85;127.85;127.85
134.30;134.45;134.30;134.45;134.45
134.40;134.40;131.50;131.50;131.50
132.35;134.20;132.35;134.20;134.20
135.80;135.80;135.80;135.80;135.80
135.15;135.15;134.75;134.75;134.75
134.80;134.80;134.80;134.80;134.80
133.50;133.50;133.50;133.50;133.50
132.55;132.55;132.55;132.55;132.55
133.05;133.05;132.95;132.95;132.95
132.95;132.95;132.95;132.95;132.95
132.90;133.90;132.90;133.90;133.90
134.50;136.00;134.50;136.00;136.00
135.20;136.50;135.20;136.50;136.50
137.25;137.25;137.25;137.25;137.25
137.70;137.70;136.85;136.85;136.85
136.30;137.20;136.30;137.20;137.20
137.25;137.25;135.50;135.50;135.50
0;0;0;0;0
132.90;133.80;132.90;133.80;133.80
133.80;133.80;132.65;132.65;132.65
132.25;132.25;132.25;132.25;132.25
131.20;131.20;131.20;131.20;131.20
131.10;132.55;131.10;132.55;132.55
132.65;132.65;132.30;132.30;132.30
132.20;132.65;132.20;132.65;132.65
132.95;132.95;132.95;132.95;132.95
133.40;133.40;133.40;133.40;133.40
133.20;133.20;133.20;133.20;133.20
133.40;133.40;133.40;133.40;133.40
133.95;136.05;133.95;136.05;136.05
135.75;136.25;135.75;136.25;136.25
136.35;136.35;135.50;135.50;135.50
136.35;136.35;134.50;134.50;134.50
134.60;134.60;134.60;134.60;134.60
