open;high;low;close;adj close
5.5920;5.7500;5.5920;5.7500;5.7500
5.7500;5.7500;5.7500;5.7500;5.7500
5.6420;5.6620;5.6420;5.6620;5.6620
5.6040;5.6420;5.6040;5.6420;5.6420
5.6400;5.6400;5.4740;5.4740;5.4740
5.8040;5.8040;5.8040;5.8040;5.8040
5.7240;5.7240;5.6640;5.6640;5.6640
5.6320;5.6320;5.3500;5.3500;5.3500
5.4340;5.4340;5.1400;5.1400;5.1400
5.2280;5.2280;5.0380;5.0380;5.0380
5.1180;5.1180;5.0920;5.0920;5.0920
5.0260;5.0440;5.0260;5.0440;5.0440
5.0180;5.0180;4.9900;4.9900;4.9900
4.8730;5.0520;4.8730;5.0520;5.0520
5.0180;5.0180;4.9030;4.9030;4.9030
4.8460;5.1400;4.8460;5.1400;5.1400
5.1000;5.2100;5.1000;5.2100;5.2100
5.1580;5.1580;5.0420;5.0420;5.0420
5.0720;5.1680;5.0720;5.1680;5.1680
5.1680;5.1680;5.1680;5.1680;5.1680
5.1900;5.3020;5.1900;5.3020;5.3020
5.3040;5.3040;5.2580;5.2580;5.2580
5.2880;5.2880;5.1620;5.1620;5.1620
5.1700;5.1700;5.1080;5.1080;5.1080
5.0920;5.3420;5.0920;5.3420;5.3420
5.3260;5.3260;5.3220;5.3220;5.3220
5.2360;5.2620;5.2360;5.2620;5.2620
5.2280;5.2280;5.2180;5.2180;5.2180
5.2180;5.2180;5.1780;5.1780;5.1780
5.1560;5.1560;5.1140;5.1140;5.1140
5.0840;5.2280;5.0840;5.2280;5.2280
5.2880;5.4360;5.2880;5.4360;5.4360
5.4000;5.4000;5.3960;5.3960;5.3960
5.5280;5.5280;5.3980;5.3980;5.3980
5.3960;5.5320;5.3960;5.5320;5.5320
5.5280;5.5780;5.5280;5.5780;5.5780
5.5500;5.5620;5.5500;5.5620;5.5620
5.5500;5.6980;5.5500;5.6980;5.6980
5.6980;5.7540;5.6980;5.7540;5.7540
5.6380;5.6380;5.6160;5.6160;5.6160
5.6300;5.7880;5.6300;5.7880;5.7880
5.7760;5.7760;5.7620;5.7620;5.7620
5.7300;5.7560;5.7300;5.7560;5.7560
5.7060;5.7420;5.7060;5.7420;5.7420
5.7860;5.7860;5.7560;5.7560;5.7560
5.7200;5.7200;5.5380;5.5380;5.5380
5.4280;5.4800;5.4280;5.4800;5.4800
5.5080;5.5580;5.5080;5.5580;5.5580
5.5360;5.6400;5.5360;5.6400;5.6400
5.6800;5.7400;5.6800;5.7400;5.7400
5.7380;5.7960;5.7380;5.7960;5.7960
5.8720;5.8720;5.8040;5.8040;5.8040
5.7920;5.8480;5.7920;5.8480;5.8480
5.8440;5.8440;5.8440;5.8440;5.8440
5.8360;5.8360;5.7300;5.7300;5.7300
5.7980;5.7980;5.7660;5.7660;5.7660
5.7400;6.0480;5.7400;6.0480;6.0480
5.8440;5.8440;5.6760;5.6760;5.6760
5.5520;5.6860;5.5520;5.6860;5.6860
5.6960;5.7020;5.6960;5.7020;5.7020
5.7320;5.7480;5.7320;5.7480;5.7480
5.8420;5.9120;5.8420;5.9120;5.9120
5.9080;5.9080;5.6880;5.6880;5.6880
5.7540;5.7540;5.7540;5.7540;5.7540
5.2240;5.2240;5.2240;5.2240;5.2240
5.1140;5.1140;5.0100;5.0100;5.0100
4.4710;4.4890;4.4710;4.4890;4.4890
4.6120;4.6910;4.6120;4.6910;4.6910
4.6820;4.6820;4.6220;4.6220;4.6220
4.7260;4.7260;4.5870;4.5870;4.5870
4.5570;4.6760;4.5570;4.6760;4.6760
4.7700;4.7700;4.6550;4.6550;4.6550
4.5670;4.5670;4.5670;4.5670;4.5670
4.5700;4.6490;4.5700;4.6490;4.6490
4.5920;4.5920;4.5470;4.5470;4.5470
4.5960;4.6690;4.5960;4.6690;4.6690
4.6000;4.6490;4.6000;4.6490;4.6490
4.6940;4.6940;4.5950;4.5950;4.5950
4.5840;4.5840;4.5660;4.5660;4.5660
4.6040;4.6840;4.6040;4.6840;4.6840
4.7760;4.7800;4.7760;4.7800;4.7800
4.7850;4.7850;4.7320;4.7320;4.7320
4.7570;4.9710;4.7570;4.9710;4.9710
5.0120;5.0320;5.0120;5.0320;5.0320
5.1100;5.1460;5.1100;5.1460;5.1460
5.1620;5.2620;5.1620;5.2620;5.2620
5.2660;5.3340;5.2660;5.3340;5.3340
5.3040;5.3100;5.3040;5.3100;5.3100
5.3140;5.3140;5.1400;5.1400;5.1400
5.1220;5.1880;5.1220;5.1880;5.1880
5.2020;5.2620;5.2020;5.2620;5.2620
5.2460;5.2460;5.2000;5.2000;5.2000
5.1080;5.1940;5.1080;5.1940;5.1940
5.1900;5.1900;5.1620;5.1620;5.1620
5.0440;5.0440;5.0380;5.0380;5.0380
5.0280;5.0280;5.0080;5.0080;5.0080
5.0360;5.0360;5.0140;5.0140;5.0140
4.9760;4.9760;4.9740;4.9740;4.9740
5.0280;5.0280;4.9610;4.9610;4.9610
4.8980;4.8980;4.8000;4.8000;4.8000
