open;high;low;close;adj close
84.12;84.12;84.10;84.10;84.10
84.10;84.10;84.10;84.10;84.10
84.51;86.07;84.51;86.07;86.07
85.18;85.78;85.18;85.78;85.78
85.49;85.49;85.01;85.01;85.01
85.39;85.74;85.39;85.74;85.74
86.16;86.26;86.16;86.26;86.26
85.87;85.87;85.75;85.75;85.75
85.89;85.89;85.15;85.15;85.15
85.10;85.10;85.06;85.06;85.06
85.38;85.38;85.15;85.15;85.15
84.01;84.08;84.01;84.08;84.08
84.61;84.61;84.61;84.61;84.61
84.05;84.57;84.05;84.57;84.57
83.73;84.63;83.73;84.63;84.63
84.05;84.84;84.05;84.84;84.84
84.74;84.88;84.74;84.88;84.88
84.81;84.81;84.63;84.63;84.63
84.47;84.65;84.47;84.65;84.65
84.65;84.65;84.65;84.65;84.65
84.17;84.82;84.17;84.82;84.82
84.54;85.30;84.54;85.30;85.30
85.41;85.41;85.19;85.19;85.19
85.38;85.99;85.38;85.99;85.99
86.56;87.04;86.56;87.04;87.04
86.74;86.76;86.74;86.76;86.76
87.32;87.32;86.98;86.98;86.98
86.85;86.85;86.85;86.85;86.85
86.89;86.89;82.62;82.62;82.62
81.75;82.29;81.75;82.29;82.29
82.16;82.16;81.49;81.49;81.49
81.56;81.56;81.17;81.17;81.17
81.23;81.23;80.95;80.95;80.95
82.43;82.43;82.43;82.43;82.43
82.79;82.97;82.79;82.97;82.97
83.22;83.39;83.22;83.39;83.39
83.50;83.82;83.50;83.67;83.67
83.38;83.91;83.34;83.90;83.90
83.24;83.24;83.09;83.09;83.09
82.83;83.96;82.83;83.96;83.96
83.42;83.42;82.97;82.97;82.97
83.15;83.16;81.96;81.96;81.96
82.16;82.16;81.58;81.58;81.58
82.17;82.17;81.63;81.63;81.63
81.54;81.81;81.54;81.81;81.81
81.16;81.34;81.16;81.34;81.34
80.71;80.71;80.40;80.40;80.40
80.99;80.99;80.61;80.61;80.61
80.42;80.42;80.07;80.07;80.07
80.51;80.51;80.19;80.19;80.19
80.50;80.50;80.31;80.31;80.31
79.96;82.71;79.39;82.71;82.71
82.47;82.47;82.47;82.47;82.47
83.44;83.61;83.44;83.61;83.61
83.57;83.71;83.23;83.23;83.23
83.20;83.44;82.87;83.44;83.44
83.36;84.26;83.36;84.26;84.26
83.29;84.07;83.29;83.85;83.85
83.79;83.79;83.10;83.10;83.10
82.77;83.01;82.77;83.01;83.01
83.35;83.57;83.35;83.57;83.57
84.07;84.55;84.07;84.55;84.55
84.89;84.89;84.88;84.88;84.88
85.17;85.17;83.92;83.92;83.92
83.85;84.11;83.85;84.11;84.11
84.25;84.32;84.25;84.32;84.32
84.49;85.03;84.49;85.03;85.03
86.00;86.00;85.88;85.88;85.88
85.99;86.07;85.99;86.07;86.07
86.26;86.26;86.07;86.07;86.07
86.33;86.33;86.03;86.03;86.03
86.94;86.94;85.66;85.66;85.66
84.70;87.16;84.70;87.16;87.16
87.20;87.57;87.20;87.42;87.42
87.31;87.88;86.99;87.88;87.88
87.88;88.35;87.73;87.73;87.73
87.98;88.15;87.91;87.91;87.91
88.16;88.16;87.96;87.96;87.96
87.86;87.86;87.86;87.86;87.86
88.63;88.63;87.80;87.80;87.80
87.82;87.82;87.75;87.75;87.75
88.39;88.39;88.27;88.27;88.27
88.35;88.35;87.32;87.32;87.32
0;0;0;0;0
88.39;89.66;88.39;89.66;89.66
89.64;89.64;89.34;89.34;89.34
89.03;89.09;89.03;89.09;89.09
88.96;89.60;88.96;89.60;89.60
89.31;89.31;89.30;89.30;89.30
89.05;89.21;89.05;89.21;89.21
88.95;89.75;88.95;89.75;89.75
89.55;90.39;89.55;90.39;90.39
90.41;90.60;90.41;90.60;90.60
90.77;90.77;90.35;90.35;90.35
90.08;90.30;90.08;90.30;90.30
89.85;89.90;89.85;89.90;89.90
90.14;90.51;90.14;90.51;90.51
90.59;91.06;90.59;91.06;91.06
91.37;91.37;91.18;91.18;91.18
90.83;90.83;90.53;90.53;90.53
