open;high;low;close;adj close
33.76;34.00;33.27;34.00;34.00
34.00;34.25;33.33;33.92;33.92
33.74;34.21;33.35;34.03;34.03
33.82;33.90;33.46;33.85;33.85
32.42;32.91;32.15;32.64;32.64
32.70;32.76;32.14;32.48;32.48
32.22;32.54;32.00;32.53;32.53
32.28;32.51;31.75;32.30;32.30
32.32;32.75;32.27;32.56;32.56
32.92;32.92;31.99;32.05;32.05
32.30;32.31;31.81;31.99;31.99
31.60;31.98;31.50;31.52;31.52
31.98;32.08;31.78;31.97;31.97
31.50;32.02;31.47;31.75;31.75
31.59;32.24;31.35;32.24;32.24
32.08;32.59;31.98;32.42;32.42
32.46;32.85;32.37;32.57;32.57
32.53;33.19;31.75;31.94;31.94
32.13;32.30;31.90;32.06;32.06
32.06;32.06;32.06;32.06;32.06
32.79;32.85;32.43;32.57;32.57
32.30;32.52;32.13;32.34;32.34
32.02;32.62;31.90;32.03;32.03
31.82;32.30;31.80;32.07;32.07
32.07;32.60;31.81;32.36;32.36
32.57;32.96;32.14;32.79;32.79
32.88;33.04;32.22;32.29;32.29
32.44;32.85;32.22;32.39;32.39
32.33;32.88;32.33;32.50;32.50
32.19;32.32;31.15;31.30;31.30
31.59;31.86;30.99;31.80;31.80
32.11;32.42;31.88;32.23;32.23
32.52;32.64;32.29;32.64;32.64
33.01;33.34;32.53;32.71;32.71
32.65;32.82;32.21;32.30;32.30
32.24;33.11;32.22;33.11;33.11
32.86;33.94;32.86;33.69;33.69
33.95;34.39;33.26;33.98;33.98
33.84;34.02;33.38;33.74;33.74
33.43;33.62;33.15;33.39;33.39
33.54;33.75;33.01;33.60;33.60
33.45;33.75;33.32;33.61;33.61
33.68;33.90;33.56;33.56;33.56
33.53;33.81;33.38;33.46;33.46
33.65;33.99;33.24;33.97;33.97
34.00;34.00;33.32;33.37;33.37
32.97;33.59;32.93;33.45;33.45
33.34;33.61;32.80;33.04;33.04
33.00;33.36;32.95;33.21;33.21
33.45;33.88;33.26;33.88;33.88
34.00;34.30;33.46;34.21;34.21
34.15;35.11;34.09;34.20;34.20
33.93;34.30;33.93;34.14;34.14
34.34;34.34;33.66;33.67;33.67
33.77;33.81;32.73;33.20;33.20
32.30;33.13;31.50;32.44;32.44
32.48;32.55;31.64;31.71;31.71
31.25;31.62;31.05;31.34;31.34
31.00;31.45;30.49;30.60;30.60
30.99;31.12;30.51;30.73;30.73
30.74;31.01;30.20;30.86;30.86
31.04;31.04;30.41;30.73;30.73
30.40;30.88;30.33;30.40;30.40
30.69;30.83;30.34;30.50;30.50
30.34;30.92;30.08;30.44;30.44
30.15;30.35;29.75;30.11;30.11
29.88;30.62;27.89;30.40;30.40
30.80;31.09;30.44;30.50;30.50
30.61;30.82;30.27;30.27;30.27
30.56;31.03;30.43;30.96;30.96
30.92;31.04;30.41;30.52;30.52
30.67;30.87;29.86;29.95;29.95
29.74;30.24;29.49;30.05;30.05
30.03;30.50;29.86;30.03;30.03
29.75;29.89;28.92;29.07;29.07
29.16;29.75;28.98;29.32;29.32
29.80;29.80;29.14;29.27;29.27
29.11;29.44;29.08;29.18;29.18
29.12;29.12;28.60;28.85;28.85
29.12;29.24;28.88;29.03;29.03
29.29;29.85;28.94;29.62;29.62
29.77;30.08;29.55;29.82;29.82
30.05;30.41;29.98;30.22;30.22
30.00;30.75;29.79;30.58;30.58
30.75;31.16;30.69;31.05;31.05
30.88;31.32;30.50;31.17;31.17
31.34;31.92;31.31;31.89;31.89
31.68;31.92;31.50;31.88;31.88
31.60;31.72;30.82;30.96;30.96
31.06;31.15;30.84;31.04;31.04
31.20;31.85;31.07;31.78;31.78
31.79;32.10;31.52;31.88;31.88
31.56;31.68;30.95;31.08;31.08
31.28;31.40;30.89;30.98;30.98
30.79;30.94;29.76;30.56;30.56
30.56;30.88;30.39;30.48;30.48
30.50;30.53;30.04;30.24;30.24
30.21;30.60;30.21;30.34;30.34
30.54;30.61;29.75;29.75;29.75
29.65;29.75;29.14;29.25;29.25
