open;high;low;close;adj close
32.14;32.14;32.14;32.14;32.14
32.45;33.10;32.45;33.10;33.10
33.58;33.82;33.51;33.51;33.51
33.02;33.02;33.02;33.02;33.02
32.41;32.41;32.41;32.41;32.41
32.50;32.50;32.50;32.50;32.50
32.40;32.40;32.40;32.40;32.40
31.78;31.78;31.78;31.78;31.78
31.96;31.96;31.96;31.96;31.96
31.72;31.72;31.72;31.72;31.72
31.65;31.65;31.65;31.65;31.65
31.46;31.46;31.46;31.46;31.46
31.90;31.90;31.90;31.90;31.90
31.36;31.36;31.36;31.36;31.36
31.03;31.08;31.03;31.08;31.08
31.46;31.46;31.46;31.46;31.46
31.47;31.54;31.36;31.54;31.54
31.45;31.62;31.45;31.62;31.62
31.29;31.29;31.27;31.27;31.27
31.27;31.27;31.27;31.27;31.27
31.75;31.75;31.75;31.75;31.75
31.75;31.83;31.75;31.83;31.83
31.45;31.45;31.45;31.45;31.45
31.39;31.39;31.39;31.39;31.39
31.19;31.92;31.19;31.92;31.92
32.50;32.50;32.50;32.50;32.50
32.29;32.29;32.29;32.29;32.29
31.96;31.96;31.96;31.96;31.96
31.99;31.99;31.99;31.99;31.99
31.89;31.89;31.89;31.89;31.89
31.82;31.82;31.82;31.82;31.82
32.00;32.00;32.00;32.00;32.00
32.63;32.63;32.63;32.63;32.63
33.13;33.13;32.72;32.72;32.72
32.69;32.69;32.69;32.69;32.69
32.80;32.80;32.80;32.80;32.80
32.92;32.99;32.92;32.99;32.99
32.79;32.79;32.79;32.79;32.79
32.69;32.69;32.64;32.64;32.64
32.13;32.13;32.13;32.13;32.13
32.24;32.24;32.10;32.10;32.10
32.12;32.12;31.75;31.75;31.75
31.72;31.80;31.72;31.80;31.80
32.06;32.06;32.06;32.06;32.06
32.96;32.96;32.96;32.96;32.96
32.94;32.94;32.94;32.94;32.94
32.88;32.88;32.88;32.88;32.88
32.79;32.79;32.79;32.79;32.79
32.54;32.54;32.54;32.54;32.54
32.89;32.89;32.89;32.89;32.89
32.97;32.99;32.97;32.99;32.99
33.36;33.36;33.36;33.36;33.36
33.35;33.35;33.35;33.35;33.35
33.17;33.17;33.17;33.17;33.17
32.42;32.42;32.42;32.42;32.42
32.43;32.43;32.43;32.43;32.43
32.96;32.96;32.96;32.96;32.96
32.29;32.29;32.29;32.29;32.29
31.99;31.99;31.47;31.47;31.47
31.31;31.93;31.31;31.93;31.93
31.81;31.81;31.81;31.81;31.81
32.19;32.19;32.19;32.19;32.19
32.10;32.10;32.03;32.03;32.03
31.68;31.68;31.68;31.68;31.68
31.54;32.10;31.54;32.10;32.10
32.09;32.09;31.56;31.56;31.56
31.40;31.95;31.40;31.95;31.95
32.19;32.45;32.19;32.45;32.45
32.51;32.51;32.36;32.36;32.36
33.02;33.02;33.02;33.02;33.02
32.71;32.76;32.71;32.76;32.76
33.01;33.01;33.01;33.01;33.01
32.87;32.87;32.87;32.87;32.87
32.75;32.75;32.75;32.75;32.75
32.72;32.77;32.72;32.77;32.77
33.65;34.51;33.65;34.51;34.51
34.74;34.74;34.60;34.60;34.60
34.63;34.63;33.94;33.94;33.94
33.67;33.67;33.67;33.67;33.67
33.60;33.60;33.60;33.60;33.60
33.63;33.63;33.36;33.36;33.36
33.27;33.27;33.27;33.27;33.27
33.65;33.72;33.65;33.72;33.72
33.89;34.66;33.89;34.66;34.66
34.57;34.86;34.57;34.86;34.86
35.04;35.04;34.79;34.86;34.86
35.50;35.50;35.50;35.50;35.50
35.63;35.63;35.63;35.63;35.63
35.21;35.21;35.16;35.16;35.16
35.25;35.25;35.21;35.21;35.21
35.09;35.43;35.09;35.43;35.43
35.72;35.72;35.72;35.72;35.72
35.23;35.23;35.23;35.23;35.23
35.42;35.42;34.95;34.95;34.95
34.68;34.68;34.68;34.68;34.68
34.68;35.15;34.68;35.15;35.15
35.70;35.94;35.70;35.94;35.94
36.11;36.81;36.11;36.81;36.81
37.01;37.01;36.63;36.63;36.63
36.40;36.40;36.40;36.40;36.40
