open;high;low;close;adj close
13.00;13.40;13.00;13.40;13.40
13.50;13.50;13.28;13.42;13.42
13.32;13.38;13.14;13.34;13.34
13.36;13.38;13.20;13.34;13.34
13.34;13.40;13.26;13.26;13.26
13.30;13.38;13.20;13.20;13.20
13.16;13.30;13.06;13.24;13.24
13.28;13.30;13.00;13.10;13.10
13.08;13.24;13.02;13.08;13.08
13.24;13.24;13.02;13.10;13.10
13.06;13.20;12.98;13.18;13.18
13.04;13.04;12.72;12.88;12.88
12.96;12.98;12.60;12.82;12.82
12.98;12.98;12.62;12.94;12.94
13.00;13.34;12.72;13.28;13.28
13.16;13.30;13.02;13.20;13.20
13.02;13.36;13.02;13.16;13.16
13.04;13.22;13.02;13.04;13.04
13.10;13.36;13.04;13.16;13.16
13.16;13.16;13.16;13.16;13.16
13.06;13.38;13.06;13.20;13.20
13.26;13.30;13.10;13.26;13.26
13.36;13.46;13.34;13.46;13.46
13.24;13.72;13.24;13.56;13.56
13.46;13.62;13.28;13.62;13.62
13.52;13.68;13.44;13.52;13.52
13.68;13.80;13.58;13.68;13.68
13.60;13.78;13.50;13.60;13.60
13.74;13.78;13.48;13.54;13.54
13.72;13.72;13.36;13.40;13.40
13.52;13.52;13.34;13.40;13.40
13.48;13.48;13.22;13.30;13.30
13.30;13.30;13.20;13.30;13.30
13.48;13.50;13.32;13.34;13.34
13.42;13.50;13.30;13.50;13.50
13.50;13.66;13.40;13.62;13.62
13.68;13.70;13.54;13.64;13.64
13.70;13.90;13.60;13.70;13.70
13.78;13.78;13.56;13.60;13.60
13.88;13.88;13.50;13.60;13.60
13.62;13.68;13.56;13.60;13.60
13.68;13.78;13.58;13.70;13.70
13.70;13.86;13.62;13.82;13.82
13.90;13.90;13.70;13.88;13.88
13.88;13.88;13.54;13.66;13.66
13.60;13.64;13.44;13.54;13.54
13.60;13.60;13.40;13.42;13.42
13.50;13.66;13.42;13.56;13.56
13.64;13.70;13.58;13.64;13.64
13.74;13.84;13.64;13.76;13.76
13.80;14.16;13.76;14.00;14.00
14.10;14.36;14.04;14.16;14.16
14.24;14.36;14.24;14.26;14.26
14.38;14.50;14.28;14.30;14.30
14.44;14.48;14.26;14.30;14.30
14.34;14.44;14.22;14.38;14.38
14.20;14.30;14.10;14.28;14.28
14.30;14.36;14.10;14.34;14.34
14.34;14.42;14.06;14.16;14.16
14.02;14.28;14.02;14.12;14.12
14.10;14.40;14.10;14.28;14.28
14.24;14.78;14.24;14.70;14.70
14.80;15.00;14.64;14.96;14.96
15.08;15.34;14.92;15.10;15.10
15.18;15.18;14.72;14.76;14.76
14.90;15.00;14.66;14.86;14.86
14.70;14.92;14.56;14.62;14.62
14.88;15.04;14.72;15.02;15.02
14.82;15.10;14.74;14.86;14.86
14.72;15.00;14.72;14.96;14.96
15.00;15.36;14.94;15.26;15.26
15.30;15.34;15.00;15.12;15.12
15.14;15.26;15.02;15.02;15.02
15.26;15.40;15.08;15.34;15.34
15.20;15.40;15.10;15.24;15.24
15.40;15.40;15.26;15.34;15.34
15.40;15.42;15.28;15.34;15.34
15.34;15.48;15.28;15.34;15.34
15.26;15.32;14.96;15.20;15.20
15.28;15.68;15.20;15.50;15.50
15.56;15.74;15.44;15.54;15.54
15.40;15.58;15.28;15.38;15.38
15.46;15.50;15.22;15.22;15.22
15.20;15.34;15.04;15.24;15.24
15.26;15.34;15.04;15.18;15.18
15.20;15.30;14.98;15.20;15.20
15.20;15.36;15.10;15.20;15.20
15.20;15.32;15.16;15.16;15.16
15.24;15.40;15.18;15.32;15.32
15.38;15.60;15.32;15.60;15.60
15.68;15.74;15.48;15.70;15.70
15.80;16.08;15.68;15.78;15.78
15.98;16.20;15.68;16.00;16.00
16.00;16.40;15.98;16.18;16.18
16.30;16.30;15.96;15.98;15.98
16.10;16.36;16.00;16.18;16.18
16.26;16.30;16.00;16.12;16.12
16.20;16.20;15.96;16.14;16.14
16.04;16.18;15.88;16.04;16.04
16.00;16.00;15.58;15.84;15.84
