open;high;low;close;adj close
37.75;38.00;37.30;37.80;37.80
37.20;38.00;37.20;37.95;37.95
37.55;38.10;37.50;37.80;37.80
37.80;38.30;37.80;38.30;38.30
38.30;38.50;37.55;37.55;37.55
37.70;38.40;37.70;38.35;38.35
38.50;38.50;37.75;38.45;38.45
38.30;38.65;38.15;38.35;38.35
38.50;38.60;38.10;38.60;38.60
39.30;39.30;38.35;38.40;38.40
38.10;39.05;37.65;37.95;37.95
38.35;38.35;37.70;38.00;38.00
38.00;38.10;37.70;37.75;37.75
37.70;37.90;37.15;37.15;37.15
37.10;37.45;37.05;37.30;37.30
37.85;37.95;36.80;37.05;37.05
37.50;38.45;37.20;38.45;38.45
38.50;38.95;38.20;38.95;38.95
38.30;39.50;38.30;39.50;39.50
39.50;39.50;39.50;39.50;39.50
39.40;39.50;39.10;39.10;39.10
39.50;39.50;37.70;38.00;38.00
38.00;38.10;37.70;38.00;38.00
37.70;38.35;37.30;38.30;38.30
37.80;38.20;37.35;38.05;38.05
37.80;38.35;37.60;37.80;37.80
37.50;38.30;37.50;38.20;38.20
37.80;38.30;37.55;37.70;37.70
38.30;38.50;37.85;38.30;38.30
38.50;38.50;38.00;38.50;38.50
39.15;39.15;38.00;38.00;38.00
38.55;38.90;38.00;38.90;38.90
39.15;39.45;38.30;39.45;39.45
38.90;39.45;38.60;38.90;38.90
38.80;38.90;38.35;38.90;38.90
38.35;38.90;38.20;38.90;38.90
38.60;38.90;38.40;38.80;38.80
38.60;39.00;38.60;38.95;38.95
39.20;39.20;38.65;38.95;38.95
39.20;39.40;38.85;39.30;39.30
39.45;39.45;38.80;39.45;39.45
39.50;39.60;38.75;39.05;39.05
39.50;39.90;39.20;39.45;39.45
39.00;39.50;39.00;39.45;39.45
39.45;39.65;38.55;38.95;38.95
38.90;39.50;38.85;39.10;39.10
39.00;39.50;38.90;39.50;39.50
39.45;39.95;39.30;39.65;39.65
39.85;39.90;39.45;39.55;39.55
39.75;39.75;38.75;39.75;39.75
39.70;39.75;39.35;39.50;39.50
39.80;39.85;39.05;39.85;39.85
39.95;39.95;39.45;39.90;39.90
40.00;40.00;39.65;39.85;39.85
39.80;39.85;39.35;39.85;39.85
39.70;40.00;39.35;40.00;40.00
39.30;39.90;39.20;39.85;39.85
39.40;39.85;39.40;39.85;39.85
39.80;39.85;39.60;39.80;39.80
39.75;39.85;39.55;39.85;39.85
40.00;40.20;39.65;40.20;40.20
39.35;40.40;39.35;40.40;40.40
40.40;40.80;39.80;40.05;40.05
40.00;40.40;39.70;40.05;40.05
40.25;40.50;39.80;40.50;40.50
40.05;40.55;39.80;40.00;40.00
40.60;40.60;39.60;39.95;39.95
40.00;40.20;39.25;39.85;39.85
40.05;40.30;39.50;40.00;40.00
40.55;40.75;39.40;39.75;39.75
39.50;39.75;39.20;39.60;39.60
39.25;40.15;38.10;38.45;38.45
38.85;38.85;37.80;38.05;38.05
38.00;38.30;36.55;36.65;36.65
36.65;37.40;36.65;36.95;36.95
37.00;37.15;36.60;37.10;37.10
37.30;37.85;37.00;37.25;37.25
37.10;38.45;37.10;38.10;38.10
38.95;38.95;37.90;38.30;38.30
37.80;38.75;37.80;38.20;38.20
38.40;38.50;37.85;38.45;38.45
38.50;38.50;38.05;38.35;38.35
38.30;38.35;37.50;37.95;37.95
38.50;38.50;37.50;38.20;38.20
37.80;38.50;37.80;38.00;38.00
38.00;38.40;37.50;38.40;38.40
38.10;38.95;37.90;38.50;38.50
38.00;38.50;37.75;38.50;38.50
38.50;38.90;38.15;38.80;38.80
38.75;38.80;38.50;38.70;38.70
38.90;39.00;38.55;38.85;38.85
38.80;38.90;37.70;37.70;37.70
37.70;38.95;37.70;38.65;38.65
38.50;38.90;38.00;38.30;38.30
38.20;38.80;37.80;38.60;38.60
38.85;38.85;38.05;38.55;38.55
38.15;38.40;37.85;38.25;38.25
38.00;38.35;37.50;38.35;38.35
38.35;38.45;37.85;37.95;37.95
37.80;38.00;37.45;37.45;37.45
