open;high;low;close;adj close
18.10;18.18;17.00;17.78;17.78
17.80;17.80;17.48;17.66;17.66
17.70;17.78;17.58;17.78;17.78
17.98;18.06;17.90;17.98;17.98
18.14;18.14;17.70;17.74;17.74
18.00;18.00;17.60;18.00;18.00
18.00;18.14;18.00;18.14;18.14
18.14;18.30;17.80;18.06;18.06
18.00;18.10;17.90;17.90;17.90
18.20;18.20;17.90;17.90;17.90
18.16;18.16;17.90;17.90;17.90
18.00;18.00;17.80;17.80;17.80
17.92;17.92;17.80;17.92;17.92
17.90;18.02;17.80;17.92;17.92
18.02;18.14;17.80;17.90;17.90
17.94;17.94;17.68;17.68;17.68
17.86;18.00;17.78;17.78;17.78
17.96;18.04;17.92;17.96;17.96
18.14;18.14;18.04;18.04;18.04
18.04;18.04;18.04;18.04;18.04
18.16;18.16;17.94;17.94;17.94
18.02;18.02;17.84;17.86;17.86
17.92;17.96;17.82;17.82;17.82
17.80;17.94;17.72;17.84;17.84
17.66;17.96;17.64;17.80;17.80
17.66;17.86;17.66;17.74;17.74
17.80;17.84;17.72;17.80;17.80
17.80;17.84;17.80;17.82;17.82
17.80;17.84;17.72;17.72;17.72
17.80;17.90;17.66;17.78;17.78
17.74;17.90;17.74;17.74;17.74
17.72;17.72;17.70;17.70;17.70
17.70;17.70;17.70;17.70;17.70
17.78;18.00;17.78;17.88;17.88
17.90;17.90;17.80;17.80;17.80
17.72;18.02;17.72;18.02;18.02
18.02;18.08;17.76;17.86;17.86
17.90;17.90;17.70;17.80;17.80
17.84;17.86;17.80;17.86;17.86
17.86;17.90;17.80;17.80;17.80
17.82;17.86;17.82;17.86;17.86
17.93;18.06;17.93;18.06;18.06
17.90;17.94;17.86;17.94;17.94
18.00;18.00;17.70;17.70;17.70
17.90;17.90;17.70;17.70;17.70
17.70;17.70;17.70;17.70;17.70
17.66;17.66;17.60;17.65;17.65
17.60;17.60;17.50;17.50;17.50
17.50;17.52;17.48;17.48;17.48
17.57;17.57;17.44;17.44;17.44
17.50;17.50;17.50;17.50;17.50
17.50;17.50;17.50;17.50;17.50
17.50;17.50;17.50;17.50;17.50
17.48;17.48;17.25;17.25;17.25
17.30;17.30;17.30;17.30;17.30
17.30;17.30;17.00;17.00;17.00
17.00;17.00;16.10;16.40;16.40
16.20;16.45;16.00;16.45;16.45
16.42;16.60;16.42;16.60;16.60
16.70;16.70;16.70;16.70;16.70
16.68;16.68;16.68;16.68;16.68
16.70;16.70;16.33;16.33;16.33
16.57;16.57;16.57;16.57;16.57
16.50;16.50;16.50;16.50;16.50
16.50;16.50;16.46;16.46;16.46
16.50;16.50;16.40;16.40;16.40
16.30;16.31;16.25;16.25;16.25
16.20;16.40;16.00;16.40;16.40
16.20;16.20;15.90;15.92;15.92
15.96;16.10;15.90;16.10;16.10
16.10;16.10;15.84;16.00;16.00
16.00;16.19;16.00;16.01;16.01
16.01;16.05;16.01;16.05;16.05
16.00;16.10;16.00;16.10;16.10
16.00;16.00;16.00;16.00;16.00
16.30;16.30;16.04;16.12;16.12
16.41;16.41;16.40;16.40;16.40
16.50;16.64;16.30;16.64;16.64
16.55;16.55;16.55;16.55;16.55
16.80;16.80;16.70;16.80;16.80
16.80;16.80;16.36;16.36;16.36
16.50;16.58;16.36;16.58;16.58
16.78;16.78;16.40;16.50;16.50
0;0;0;0;0
17.20;17.35;16.95;17.30;17.30
17.30;17.80;17.30;17.35;17.35
17.40;17.45;17.10;17.40;17.40
17.80;17.80;17.24;17.41;17.41
17.60;17.70;17.60;17.70;17.70
17.78;18.07;17.78;17.79;17.79
17.90;17.90;17.90;17.90;17.90
18.50;18.50;17.60;17.90;17.90
18.01;18.01;17.75;17.75;17.75
17.86;18.19;17.82;18.02;18.02
17.85;17.85;17.40;17.40;17.40
17.70;18.04;17.70;18.04;18.04
17.92;17.92;17.92;17.92;17.92
17.90;18.05;17.90;18.05;18.05
18.05;18.05;17.90;18.05;18.05
18.05;18.05;17.80;17.80;17.80
