open;high;low;close;adj close
27.02;27.02;27.02;27.02;27.02
26.50;26.50;26.50;26.50;26.50
26.88;26.88;26.58;26.58;26.58
26.60;26.60;25.90;26.14;26.14
25.92;25.92;25.72;25.72;25.72
25.84;25.92;25.84;25.92;25.92
25.90;25.90;25.68;25.68;25.68
25.58;25.58;25.12;25.12;25.12
25.28;25.28;24.74;24.74;24.74
25.12;25.12;24.68;24.68;24.68
24.92;24.92;24.92;24.92;24.92
24.84;24.96;24.84;24.96;24.96
25.68;25.68;25.68;25.68;25.68
27.02;27.02;27.02;27.02;27.02
26.82;26.82;25.62;25.62;25.62
25.38;26.10;25.38;26.08;26.08
26.08;26.38;26.08;26.38;26.38
26.60;26.60;26.20;26.20;26.20
26.26;26.56;26.26;26.56;26.56
26.56;26.56;26.56;26.56;26.56
26.62;26.92;26.62;26.92;26.92
26.70;26.70;26.58;26.58;26.58
26.34;26.34;26.34;26.34;26.34
26.26;26.26;26.02;26.02;26.02
25.80;26.68;25.80;26.68;26.68
27.02;27.02;26.72;26.72;26.72
26.98;27.90;26.98;27.90;27.90
28.00;28.00;27.12;27.12;27.12
27.10;27.10;26.74;26.74;26.74
26.54;27.42;26.54;27.42;27.42
27.18;27.76;27.18;27.76;27.76
27.96;27.96;27.96;27.96;27.96
27.88;28.46;27.88;28.46;28.46
28.88;28.92;28.88;28.92;28.92
28.76;28.76;27.76;27.76;27.76
27.66;28.60;27.66;28.60;28.60
28.88;28.94;28.88;28.94;28.94
28.76;28.76;28.52;28.52;28.52
28.76;28.76;28.34;28.34;28.34
28.08;28.08;28.02;28.02;28.02
28.06;28.36;28.06;28.36;28.36
28.36;28.36;27.92;27.92;27.92
28.00;28.08;28.00;28.08;28.08
28.30;28.50;28.30;28.50;28.50
28.48;28.76;28.48;28.76;28.76
28.84;28.84;28.34;28.34;28.34
27.82;27.82;26.12;26.12;26.12
25.88;25.88;25.50;25.50;25.50
25.44;26.14;25.44;26.14;26.14
26.20;26.20;26.16;26.16;26.16
26.14;26.14;25.60;25.60;25.60
25.54;25.78;25.14;25.78;25.78
26.18;26.18;25.64;25.64;25.64
25.56;25.78;25.56;25.78;25.78
25.74;25.74;24.88;24.88;24.88
24.50;26.76;24.50;26.76;26.76
26.32;26.32;26.12;26.12;26.12
25.72;25.72;25.36;25.36;25.36
25.30;25.30;24.90;24.90;24.90
25.08;25.08;25.00;25.00;25.00
24.86;24.86;24.84;24.84;24.84
25.10;25.38;25.10;25.38;25.38
25.48;25.48;25.00;25.00;25.00
25.48;25.48;24.80;24.80;24.80
24.70;24.70;24.68;24.68;24.68
24.68;24.68;24.68;24.68;24.68
21.44;21.44;21.28;21.42;21.42
21.72;21.76;21.72;21.76;21.76
21.92;21.92;21.32;21.32;21.32
21.36;22.14;21.36;22.14;22.14
21.62;22.20;21.62;22.20;22.20
22.40;22.44;22.40;22.44;22.44
22.14;23.02;22.14;23.02;23.02
23.02;23.64;23.02;23.64;23.64
23.70;24.26;23.70;24.26;24.26
23.98;24.70;23.98;24.70;24.70
24.82;25.00;24.82;25.00;25.00
24.14;24.14;24.14;24.14;24.14
24.16;24.16;24.16;24.16;24.16
24.32;24.32;24.32;24.32;24.32
24.54;24.70;24.54;24.70;24.70
24.64;24.64;24.58;24.58;24.58
24.98;24.98;24.80;24.80;24.80
25.24;25.84;25.24;25.84;25.84
26.14;26.30;26.14;26.30;26.30
26.38;26.52;26.38;26.52;26.52
26.40;26.60;26.40;26.60;26.60
26.42;26.66;26.42;26.66;26.66
26.46;26.46;26.24;26.24;26.24
26.20;26.20;26.18;26.18;26.18
25.86;26.48;25.86;26.48;26.48
26.54;26.58;26.54;26.58;26.58
26.18;26.18;26.18;26.18;26.18
26.16;26.16;25.38;25.38;25.38
24.98;25.44;24.98;25.44;25.44
25.52;25.74;25.52;25.74;25.74
25.82;26.16;25.82;26.16;26.16
25.90;26.82;25.90;26.82;26.82
26.68;26.68;25.94;25.94;25.94
25.74;25.74;25.74;25.74;25.74
