open;high;low;close;adj close
94.00;95.00;93.60;94.35;94.35
95.00;95.00;94.00;94.85;94.85
94.25;97.00;94.25;96.35;96.35
97.00;97.00;95.25;96.10;96.10
95.90;95.90;94.20;95.00;95.00
94.75;95.90;94.35;94.70;94.70
94.35;94.80;93.85;94.35;94.35
94.95;94.95;93.00;94.00;94.00
93.35;96.20;93.35;96.00;96.00
96.30;96.45;95.25;96.10;96.10
95.75;96.65;95.15;96.50;96.50
96.20;96.50;94.75;95.35;95.35
95.50;96.70;94.85;96.70;96.70
95.35;97.75;95.05;97.45;97.45
95.10;96.20;95.10;95.70;95.70
94.80;96.70;94.80;95.90;95.90
95.20;96.95;95.20;96.75;96.75
96.75;98.40;95.60;98.25;98.25
98.00;98.55;97.25;97.50;97.50
97.50;97.50;97.50;97.50;97.50
98.80;98.80;97.25;98.75;98.75
98.00;99.00;97.90;98.70;98.70
97.20;99.40;97.20;99.00;99.00
98.50;98.65;97.05;97.50;97.50
94.20;96.60;94.20;96.10;96.10
97.00;97.00;94.35;94.35;94.35
93.40;94.75;91.05;92.10;92.10
91.85;95.85;91.55;94.40;94.40
93.70;96.95;93.70;95.25;95.25
96.25;96.45;94.15;94.15;94.15
95.50;95.50;93.60;94.90;94.90
95.50;98.50;95.20;97.45;97.45
98.50;98.50;96.70;98.00;98.00
99.00;100.00;98.35;98.50;98.50
99.00;99.20;97.35;98.30;98.30
97.50;98.90;97.50;98.70;98.70
98.00;100.00;98.00;99.60;99.60
99.35;100.00;98.70;99.50;99.50
99.30;100.30;99.15;99.90;99.90
98.30;99.00;97.70;98.50;98.50
97.70;98.50;97.50;97.80;97.80
98.50;98.50;95.50;95.80;95.80
95.00;96.00;88.00;91.10;91.10
91.00;91.85;88.20;89.60;89.60
89.85;90.95;89.25;89.90;89.90
90.00;91.40;89.20;89.65;89.65
90.95;90.95;85.55;85.55;85.55
86.35;87.80;86.00;87.65;87.65
87.60;88.70;87.30;88.70;88.70
88.55;90.80;88.55;90.10;90.10
90.15;91.00;89.20;91.00;91.00
91.00;92.30;90.50;90.90;90.90
91.00;93.95;91.00;92.00;92.00
91.35;92.40;90.50;91.70;91.70
91.45;92.20;90.85;91.35;91.35
91.50;92.40;91.15;92.15;92.15
91.65;91.90;91.00;91.65;91.65
90.50;91.35;88.75;88.95;88.95
90.60;90.60;86.70;87.65;87.65
86.50;88.50;86.50;87.85;87.85
88.90;89.25;87.05;87.25;87.25
90.00;90.00;87.30;90.00;90.00
89.30;90.25;88.85;90.00;90.00
90.45;90.45;88.95;89.75;89.75
90.00;92.00;89.10;91.40;91.40
91.75;92.15;89.95;90.00;90.00
87.45;88.60;85.85;86.55;86.55
87.90;89.65;87.30;89.35;89.35
88.70;89.45;87.15;87.15;87.15
88.00;89.05;87.45;87.50;87.50
87.60;88.35;86.70;87.30;87.30
88.15;88.95;85.95;86.30;86.30
86.80;87.95;86.25;86.90;86.90
87.75;87.75;85.65;86.20;86.20
86.50;86.55;84.25;84.90;84.90
86.40;86.90;85.60;86.30;86.30
86.00;87.35;85.65;85.75;85.75
85.50;87.70;82.20;82.30;82.30
83.00;83.00;81.40;82.40;82.40
83.40;86.40;83.10;85.20;85.20
85.20;87.60;85.20;87.15;87.15
87.00;88.10;85.90;87.05;87.05
88.40;89.30;87.50;89.20;89.20
89.45;91.05;88.90;90.70;90.70
91.95;92.40;91.10;91.90;91.90
91.70;93.20;91.55;92.90;92.90
93.40;93.90;91.95;93.10;93.10
93.10;94.75;92.45;94.45;94.45
93.60;94.55;91.50;92.20;92.20
91.90;92.40;91.05;91.30;91.30
92.40;92.60;91.25;91.25;91.25
91.20;91.20;90.05;90.05;90.05
90.60;90.60;88.50;89.70;89.70
89.80;90.40;88.60;89.40;89.40
88.60;88.65;87.50;88.00;88.00
87.60;89.00;87.60;88.00;88.00
87.60;88.70;87.60;88.60;88.60
88.70;89.70;88.20;88.35;88.35
89.75;89.80;88.15;88.20;88.20
89.00;89.00;86.50;87.10;87.10
