open;high;low;close;adj close
76.50;76.50;76.50;76.50;76.50
77.50;81.50;77.50;81.50;81.50
81.50;82.00;79.50;82.00;82.00
81.50;81.50;80.50;81.50;81.50
81.50;81.50;81.50;81.50;81.50
81.00;81.00;81.00;81.00;81.00
80.50;80.50;80.50;80.50;80.50
79.50;79.50;79.00;79.50;79.50
80.00;81.50;80.00;81.50;81.50
80.50;81.50;80.50;81.50;81.50
81.50;81.50;81.50;81.50;81.50
81.50;81.50;81.50;81.50;81.50
81.50;81.50;81.50;81.50;81.50
81.50;83.00;81.00;81.50;81.50
81.00;81.00;81.00;81.00;81.00
80.00;80.00;80.00;80.00;80.00
80.00;80.00;80.00;80.00;80.00
80.00;80.00;80.00;80.00;80.00
80.00;80.00;80.00;80.00;80.00
80.00;80.00;80.00;80.00;80.00
79.50;79.50;79.00;79.50;79.50
79.50;79.50;79.50;79.50;79.50
79.00;79.50;79.00;79.50;79.50
78.00;79.50;78.00;79.50;79.50
79.50;79.50;79.50;79.50;79.50
79.50;79.50;79.50;79.50;79.50
79.50;79.50;79.50;79.50;79.50
79.50;79.50;79.50;79.50;79.50
79.50;79.50;79.50;79.50;79.50
80.00;80.00;80.00;80.00;80.00
79.00;79.50;79.00;79.50;79.50
81.00;81.50;80.00;80.00;80.00
79.00;81.00;79.00;80.00;80.00
81.00;81.50;81.00;81.50;81.50
80.00;80.50;80.00;80.50;80.50
80.00;80.00;79.50;79.50;79.50
79.50;79.50;79.50;79.50;79.50
79.50;79.50;79.50;79.50;79.50
79.50;79.50;79.50;79.50;79.50
79.00;79.50;78.00;79.50;79.50
79.50;80.00;79.50;80.00;80.00
80.50;80.50;79.00;80.50;80.50
79.00;80.50;79.00;80.50;80.50
80.50;80.50;80.50;80.50;80.50
80.50;80.50;80.50;80.50;80.50
80.50;81.00;80.50;81.00;81.00
81.50;83.00;80.50;83.00;83.00
84.00;86.50;84.00;86.00;86.00
89.00;89.00;88.00;88.00;88.00
89.00;89.00;89.00;89.00;89.00
89.00;94.00;89.00;94.00;94.00
100.00;100.00;96.00;99.50;99.50
99.50;99.50;95.00;96.50;96.50
95.00;95.00;92.50;93.50;93.50
95.00;95.50;95.00;95.50;95.50
95.00;97.00;95.00;96.50;96.50
97.00;97.00;95.00;96.00;96.00
95.50;97.00;95.50;95.50;95.50
95.00;97.00;95.00;97.00;97.00
95.00;100.00;95.00;99.00;99.00
99.50;101.00;99.00;101.00;101.00
100.00;101.00;100.00;100.00;100.00
99.50;100.00;98.50;98.50;98.50
101.00;101.00;98.50;100.00;100.00
100.00;100.00;98.00;98.00;98.00
99.00;99.00;97.00;99.00;99.00
97.00;99.00;97.00;99.00;99.00
100.00;100.00;98.00;99.00;99.00
99.50;99.50;99.50;99.50;99.50
100.00;100.00;100.00;100.00;100.00
100.00;100.00;100.00;100.00;100.00
100.00;100.00;97.50;98.50;98.50
98.50;98.50;98.50;98.50;98.50
100.00;100.00;97.00;97.00;97.00
95.50;97.50;95.50;97.50;97.50
98.00;98.00;98.00;98.00;98.00
97.00;97.50;96.00;97.50;97.50
97.50;97.50;97.00;97.00;97.00
97.50;97.50;97.50;97.50;97.50
97.50;97.50;97.50;97.50;97.50
98.00;98.00;97.00;97.00;97.00
97.50;97.50;97.50;97.50;97.50
98.00;98.00;98.00;98.00;98.00
0;0;0;0;0
96.00;96.00;96.00;96.00;96.00
96.50;98.00;96.50;97.50;97.50
97.50;98.50;95.50;98.00;98.00
100.00;100.00;99.00;99.00;99.00
98.00;98.00;98.00;98.00;98.00
99.00;99.50;99.00;99.50;99.50
101.00;101.00;99.50;99.50;99.50
99.50;100.00;99.50;100.00;100.00
100.00;100.00;99.50;100.00;100.00
100.00;100.00;100.00;100.00;100.00
99.00;99.00;99.00;99.00;99.00
99.00;99.00;98.50;98.50;98.50
99.00;99.00;99.00;99.00;99.00
103.00;103.00;100.00;100.00;100.00
100.00;100.00;100.00;100.00;100.00
100.00;100.00;99.50;99.50;99.50
