open;high;low;close;adj close
113.00;113.00;111.00;111.20;111.20
113.00;114.40;111.00;113.00;113.00
112.80;113.80;112.00;113.20;113.20
113.40;114.60;113.40;113.40;113.40
113.60;114.20;113.40;113.80;113.80
113.80;115.40;113.60;115.00;115.00
114.00;114.40;113.00;113.00;113.00
113.80;114.00;112.00;113.20;113.20
112.80;115.00;112.80;112.80;112.80
114.20;114.20;112.60;113.00;113.00
114.40;115.00;112.60;114.60;114.60
113.00;113.40;110.60;111.40;111.40
113.40;113.40;110.40;110.40;110.40
109.40;112.40;109.20;111.80;111.80
112.60;112.60;111.00;111.00;111.00
112.20;112.60;110.80;112.00;112.00
113.40;113.80;111.40;111.60;111.60
111.80;112.60;110.80;111.00;111.00
111.40;112.40;110.20;111.40;111.40
111.40;111.40;111.40;111.40;111.40
112.40;112.40;110.40;111.80;111.80
110.40;112.40;110.20;110.40;110.40
111.20;112.20;110.60;111.60;111.60
112.40;112.40;111.20;111.40;111.40
112.00;112.00;110.80;112.00;112.00
112.40;112.80;111.20;111.40;111.40
111.00;112.00;111.00;111.60;111.60
110.20;112.00;110.20;110.40;110.40
111.00;113.00;110.00;113.00;113.00
112.60;113.00;110.00;110.80;110.80
110.80;112.60;110.00;111.40;111.40
112.00;112.00;109.80;110.00;110.00
111.40;111.40;108.20;110.60;110.60
111.40;113.00;110.20;111.00;111.00
112.60;112.80;109.80;110.00;110.00
111.00;111.20;109.80;110.00;110.00
111.00;111.40;109.80;110.00;110.00
110.00;111.00;108.60;108.60;108.60
109.00;110.60;108.00;110.00;110.00
110.00;110.80;109.20;110.40;110.40
110.60;110.60;109.00;110.60;110.60
111.00;112.00;109.60;110.20;110.20
110.80;112.00;110.00;110.00;110.00
111.00;111.20;110.40;111.00;111.00
111.00;112.00;110.20;111.00;111.00
111.00;112.40;110.60;111.60;111.60
111.60;111.60;110.00;110.80;110.80
110.00;112.40;110.00;112.20;112.20
112.80;112.80;111.60;111.60;111.60
112.00;112.20;111.00;111.40;111.40
111.80;114.00;111.40;113.40;113.40
114.00;114.00;112.80;113.20;113.20
113.40;113.60;112.60;113.00;113.00
112.40;115.00;112.40;114.20;114.20
114.00;114.60;113.80;114.00;114.00
115.00;115.00;113.40;114.00;114.00
115.00;115.00;113.60;114.40;114.40
113.00;114.40;112.80;113.60;113.60
111.40;112.60;111.40;112.40;112.40
113.00;113.00;111.40;112.00;112.00
111.40;112.20;110.80;111.40;111.40
110.40;111.40;110.40;111.00;111.00
111.40;111.60;111.00;111.60;111.60
111.80;112.20;110.00;111.40;111.40
111.20;111.60;110.20;110.20;110.20
110.20;111.40;108.80;109.60;109.60
108.20;108.20;106.20;106.80;106.80
107.60;108.60;107.60;107.60;107.60
108.00;109.00;105.80;106.80;106.80
107.60;108.80;106.80;107.80;107.80
108.80;109.00;106.80;107.00;107.00
108.80;108.80;105.60;106.60;106.60
107.00;108.20;106.00;107.00;107.00
108.00;108.00;106.00;107.00;107.00
107.20;107.20;105.20;106.00;106.00
106.20;107.40;106.00;106.40;106.40
106.40;108.60;106.40;107.80;107.80
108.00;108.80;105.60;106.00;106.00
106.00;106.60;105.60;105.80;105.80
105.40;107.40;105.40;105.80;105.80
106.40;106.60;105.20;106.00;106.00
106.40;107.00;106.00;106.00;106.00
105.80;107.40;105.80;106.40;106.40
106.20;107.20;106.00;106.60;106.60
107.20;108.60;107.00;107.60;107.60
108.60;109.40;107.80;108.60;108.60
107.80;109.80;107.80;109.20;109.20
108.60;110.00;107.80;108.60;108.60
107.80;108.40;107.60;107.80;107.80
107.80;108.80;107.60;107.80;107.80
108.40;108.80;107.20;108.80;108.80
108.80;111.60;108.00;110.20;110.20
109.80;110.20;108.00;110.20;110.20
109.00;110.60;109.00;109.00;109.00
109.20;110.00;108.00;110.00;110.00
109.00;111.00;109.00;110.00;110.00
111.00;111.60;109.40;111.00;111.00
110.00;111.80;109.40;110.40;110.40
110.20;111.20;109.00;111.00;111.00
110.00;111.00;110.00;111.00;111.00
