open;high;low;close;adj close
31.80;32.50;31.50;31.95;31.95
32.50;32.50;31.90;32.05;32.05
32.35;32.40;32.00;32.10;32.10
32.35;32.40;31.70;31.85;31.85
31.95;31.95;31.30;31.30;31.30
31.65;31.65;31.05;31.05;31.05
31.10;31.10;30.40;30.60;30.60
30.80;30.80;30.30;30.45;30.45
31.00;31.00;30.40;30.50;30.50
30.70;31.00;30.60;30.80;30.80
30.90;31.05;30.35;30.65;30.65
30.65;30.75;30.00;30.10;30.10
30.90;30.90;29.95;30.20;30.20
30.15;30.20;29.85;30.00;30.00
30.10;30.15;29.80;29.85;29.85
29.95;30.35;29.95;30.15;30.15
30.45;30.55;30.00;30.05;30.05
30.20;30.50;30.05;30.05;30.05
30.40;30.45;30.10;30.30;30.30
30.30;30.30;30.30;30.30;30.30
30.65;30.65;30.00;30.00;30.00
30.10;30.35;29.90;30.05;30.05
30.10;30.40;30.05;30.35;30.35
30.40;30.55;30.15;30.40;30.40
30.95;30.95;30.25;30.35;30.35
30.40;30.65;30.15;30.40;30.40
30.65;30.65;30.30;30.45;30.45
30.60;30.80;30.05;30.05;30.05
30.30;30.50;30.00;30.10;30.10
30.00;30.20;29.70;29.70;29.70
29.90;29.95;29.65;29.80;29.80
29.80;30.20;29.75;29.75;29.75
29.85;30.00;29.55;29.55;29.55
29.95;30.35;29.80;30.20;30.20
30.50;31.25;30.30;31.10;31.10
31.30;31.30;30.50;30.65;30.65
30.50;30.85;30.50;30.75;30.75
30.85;31.05;30.75;30.85;30.85
30.95;30.95;30.50;30.50;30.50
30.50;30.60;30.35;30.40;30.40
30.60;30.60;30.30;30.45;30.45
30.75;30.80;30.35;30.40;30.40
30.80;31.00;30.50;30.70;30.70
31.00;31.15;30.65;30.85;30.85
31.00;31.00;30.50;30.60;30.60
30.65;30.65;30.30;30.45;30.45
30.45;30.50;30.05;30.15;30.15
30.35;30.55;30.10;30.25;30.25
30.10;30.35;30.10;30.25;30.25
30.60;30.80;30.35;30.60;30.60
30.90;31.25;30.55;30.85;30.85
31.10;31.65;30.65;30.65;30.65
30.90;30.90;30.55;30.60;30.60
30.75;30.95;30.60;30.60;30.60
30.80;30.80;30.20;30.40;30.40
30.50;30.75;30.20;30.20;30.20
30.30;30.45;30.05;30.15;30.15
30.00;30.05;29.25;29.35;29.35
29.40;29.50;29.05;29.25;29.25
29.40;29.80;29.30;29.50;29.50
29.70;29.75;29.15;29.25;29.25
29.70;29.80;29.05;29.25;29.25
29.75;31.75;29.70;31.50;31.50
31.80;31.85;30.95;30.95;30.95
31.00;31.05;30.15;30.45;30.45
30.35;30.75;30.35;30.50;30.50
31.20;31.45;30.65;31.30;31.30
31.50;32.00;31.40;31.95;31.95
32.00;32.00;31.20;31.25;31.25
31.60;31.75;31.30;31.75;31.75
31.80;31.80;31.25;31.25;31.25
31.70;31.95;31.30;31.35;31.35
31.45;31.80;31.15;31.50;31.50
31.45;32.15;31.35;32.00;32.00
32.10;32.30;31.75;31.85;31.85
32.15;32.70;32.10;32.45;32.45
32.50;32.80;32.35;32.40;32.40
32.65;32.85;32.05;32.35;32.35
32.50;32.50;32.00;32.15;32.15
32.50;32.50;32.10;32.20;32.20
32.50;32.50;32.05;32.20;32.20
32.30;32.40;32.00;32.25;32.25
32.50;32.50;31.95;32.25;32.25
32.35;33.00;32.20;32.80;32.80
33.00;33.30;32.80;32.80;32.80
33.00;33.10;32.75;33.00;33.00
32.80;33.25;32.60;32.90;32.90
32.90;33.05;32.60;32.80;32.80
32.90;33.15;32.70;33.00;33.00
33.00;33.10;32.50;32.60;32.60
32.90;32.90;32.30;32.50;32.50
32.50;32.60;31.40;31.45;31.45
31.65;31.75;31.05;31.40;31.40
31.50;32.05;31.50;31.95;31.95
32.00;32.00;31.10;31.60;31.60
31.80;31.85;31.50;31.55;31.55
31.85;32.10;31.50;32.00;32.00
32.25;32.80;32.10;32.20;32.20
32.40;32.65;31.45;31.60;31.60
31.70;31.70;31.10;31.20;31.20
